from to value color id
1 15 29 0.63831187923884 palegreen 1
2 15 1 0.781715130317987 palegreen 2
3 15 28 0.532352820206269 orangered 3
4 15 30 0.810999924128089 palegreen 4
5 15 26 0.590735067942981 palegreen 5
6 6 29 0.576461948421569 palegreen 6
7 6 1 0.704130556076252 palegreen 7
8 6 30 0.729600786346219 palegreen 8
9 6 26 0.533343480616039 palegreen 9
10 16 29 0.553156318989411 palegreen 10
11 16 1 0.667730398565952 palegreen 11
12 16 30 0.687957394474737 palegreen 12
13 16 26 0.51112698340098 palegreen 13
14 5 29 0.575289175308308 palegreen 14
15 5 1 0.706845742890677 palegreen 15
16 5 30 0.734467133359172 palegreen 16
17 5 26 0.532600413380062 palegreen 17
18 7 29 0.565898947054134 palegreen 18
19 7 1 0.705002397553563 palegreen 19
20 7 28 0.534773257729314 orangered 20
21 7 30 0.737321862834598 palegreen 21
22 7 26 0.524706283295108 palegreen 22
23 7 27 0.507051533983747 orangered 23
24 10 29 0.606992785298597 palegreen 24
25 10 1 0.745763195965226 palegreen 25
26 10 28 0.518845688408375 orangered 26
27 10 30 0.774887595675223 palegreen 27
28 10 26 0.561948511349774 palegreen 28
29 8 29 0.529839777710089 palegreen 29
30 8 1 0.638438236978504 palegreen 30
31 8 30 0.657203888468995 palegreen 31
32 4 28 0.527533880674262 orangered 32
33 4 27 0.596769351900477 orangered 33
34 4 25 0.547279782775334 orangered 34
35 19 29 0.574229364206802 palegreen 35
36 19 1 0.706504542586869 palegreen 36
37 19 30 0.734585449993322 palegreen 37
38 19 26 0.531698477878886 palegreen 38
39 21 29 0.512768825034506 palegreen 39
40 21 1 0.627383248803175 palegreen 40
41 21 30 0.650597971755013 palegreen 41
42 11 29 0.611153684301905 palegreen 42
43 11 1 0.754491072282895 palegreen 43
44 11 28 0.541378282547129 orangered 44
45 11 30 0.78573554413949 palegreen 45
46 11 26 0.566098756287735 palegreen 46
47 11 27 0.50076425765165 orangered 47
48 9 29 0.550492435083461 palegreen 48
49 9 1 0.658111795030498 palegreen 49
50 9 30 0.674840559758602 palegreen 50
51 9 26 0.508137569512787 palegreen 51
52 13 29 0.57916923762565 palegreen 52
53 13 1 0.707879992554193 palegreen 53
54 13 30 0.733704902379545 palegreen 54
55 13 26 0.53588475904913 palegreen 55
56 23 29 0.587520593657095 palegreen 56
57 23 1 0.719608769275825 palegreen 57
58 23 30 0.746614165984797 palegreen 58
59 23 26 0.543737420438742 palegreen 59
60 2 29 0.541211090095144 palegreen 60
61 2 1 0.666025926290773 palegreen 61
62 2 30 0.692569457380473 palegreen 62
63 2 26 0.501137732820456 palegreen 63
64 17 29 0.507475814429509 palegreen 64
65 17 1 0.609977618883422 palegreen 65
66 17 30 0.627147677486136 palegreen 66
67 24 29 0.588336381458015 palegreen 67
68 24 1 0.724975617089669 palegreen 68
69 24 28 0.51409840972334 orangered 69
70 24 30 0.754338316693703 palegreen 70
71 24 26 0.544852534388454 palegreen 71
72 3 29 0.503963121926738 palegreen 72
73 3 1 0.608770303178166 palegreen 73
74 3 30 0.627422817145004 palegreen 74
75 22 29 0.567936611094738 palegreen 75
76 22 1 0.699096378398651 palegreen 76
77 22 30 0.72704703130467 palegreen 77
78 22 26 0.525899354413445 palegreen 78
79 14 25 0.597033531243229 orangered 79
80 20 28 0.508816150642415 orangered 80
81 20 27 0.576326145115091 orangered 81
82 20 25 0.53083605544461 orangered 82
83 18 1 0.59395333327419 palegreen 83
84 18 30 0.609734456228717 palegreen 84
85 12 1 0.60450311516241 palegreen 85
86 12 30 0.629148137024785 palegreen 86
