from to value color id
1 23 3 0.53196077506588 orangered 1
2 23 34 0.549588578821095 palegreen 2
3 23 2 0.621952350291948 palegreen 3
4 23 36 0.755214784159471 palegreen 4
5 14 4 0.518981975706224 orangered 5
6 14 2 0.526472290742159 orangered 6
7 14 36 0.685767216326402 orangered 7
8 29 2 0.534189736509976 orangered 8
9 29 36 0.667956296667317 orangered 9
10 22 2 0.553476431602153 orangered 10
11 22 36 0.705427938781584 orangered 11
12 8 3 0.50165881732804 orangered 12
13 8 34 0.608789923620678 palegreen 13
14 8 1 0.672286385897229 palegreen 14
15 8 35 0.558342725014844 palegreen 15
16 16 2 0.545562036038049 orangered 16
17 16 36 0.661791317813204 orangered 17
18 5 4 0.509673980621663 orangered 18
19 5 2 0.613189457093576 orangered 19
20 5 36 0.767252332253806 orangered 20
21 24 2 0.554231115875187 orangered 21
22 24 36 0.689575492348691 orangered 22
23 32 2 0.599827744339072 orangered 23
24 32 36 0.745375878367179 orangered 24
25 19 3 0.530705462122301 palegreen 25
26 19 34 0.546420125953957 orangered 26
27 19 2 0.626986561919994 orangered 27
28 19 36 0.764127485958468 orangered 28
29 26 4 0.535538503952793 orangered 29
30 26 2 0.608326022042176 orangered 30
31 26 36 0.771095865637506 orangered 31
32 7 2 0.523470557576227 orangered 32
33 7 36 0.653046490580803 orangered 33
34 30 2 0.591793860796572 orangered 34
35 30 36 0.738340460693737 orangered 35
36 20 2 0.515643011265167 orangered 36
37 20 36 0.653916307788502 orangered 37
38 28 2 0.545934196077977 orangered 38
39 28 36 0.672400871467976 orangered 39
40 27 2 0.564135047554545 orangered 40
41 27 36 0.710102358911492 orangered 41
42 31 4 0.519559884736924 orangered 42
43 31 2 0.519897180194248 orangered 43
44 31 36 0.679546368739203 orangered 44
45 10 3 0.515969502798351 orangered 45
46 10 34 0.627272819589918 palegreen 46
47 10 1 0.694066320251515 palegreen 47
48 10 35 0.577087143155105 palegreen 48
49 33 2 0.537730263600706 orangered 49
50 33 36 0.68691347109129 orangered 50
51 21 3 0.513458858129887 palegreen 51
52 21 34 0.53323978535656 orangered 52
53 21 2 0.590710373194557 orangered 53
54 21 36 0.713140461618686 orangered 54
55 6 2 0.509475790100955 orangered 55
56 6 36 0.65959253366079 orangered 56
57 12 34 0.600149224112009 palegreen 57
58 12 1 0.672797929160802 palegreen 58
59 12 35 0.563583241337546 palegreen 59
60 17 3 0.505611411086989 palegreen 60
61 17 34 0.516528136128674 orangered 61
62 17 2 0.611426902839029 orangered 62
63 17 36 0.751167675739752 orangered 63
64 9 34 0.608534296232625 palegreen 64
65 9 1 0.674216091761581 palegreen 65
66 9 35 0.561004930953468 palegreen 66
67 13 34 0.599642621986666 palegreen 67
68 13 1 0.676481323128991 palegreen 68
69 13 35 0.568674693414127 palegreen 69
70 11 3 0.530440987418549 orangered 70
71 11 34 0.647006446387322 palegreen 71
72 11 1 0.718522472738273 palegreen 72
73 11 35 0.598674526665304 palegreen 73
74 18 34 0.573016673833495 orangered 74
75 18 1 0.594758028913676 orangered 75
76 25 1 0.507596363750852 orangered 76
77 15 34 0.550626410984763 orangered 77
78 15 1 0.612527204948877 orangered 78
79 15 35 0.510853455818579 orangered 79
