label id group Gene_ID_human
1 CholineChloride 1 Metabolome NA
2 Citrate 2 Metabolome NA
3 D-Fructose 3 Metabolome NA
4 CD4 4 Transcriptome 920
5 GSTA4 5 Transcriptome 2941
6 NKG7 6 Transcriptome 4818
7 SEC61B 7 Transcriptome 10952
8 SLC16A1 8 Transcriptome 6566
9 PKDCC 9 Transcriptome 91461
10 KIT 10 Transcriptome 3815
11 IL2RG 11 Transcriptome 3561
12 RAB17 12 Transcriptome 64284
13 ATP8 13 Transcriptome 4509
14 C1orf115 14 Transcriptome 79762
15 ENSSSCG00000033100 15 Transcriptome 
16 RGN 16 Transcriptome 9104
17 MARK1 17 Transcriptome 4139
18 LGI4 18 Transcriptome 163175
19 ECM1 19 Transcriptome 1893
20 IL2RG 20 Transcriptome 3561
21 ABCB7 21 Transcriptome 22
22 RGN 22 Transcriptome 9104
23 ADAMTS8 23 Transcriptome 11095
24 IRS2 24 Transcriptome 8660
25 EXOC2 25 Transcriptome 55770
26 MAX 26 Transcriptome 4149
27 LIMD2 27 Transcriptome 80774
28 TMEM63A 28 Transcriptome 9725
29 PLEKHO2 29 Transcriptome 80301
30 GAS2 30 Transcriptome 2620
31 DACH2 31 Transcriptome 117154
32 ENPP2 32 Transcriptome 5168
33 ANXA13 33 Transcriptome 312
34 RDH16 34 Transcriptome 8608
35 RDH16 35 Transcriptome 8608
36 MTFP1 36 Transcriptome 51537
37 ZMAT1 37 Transcriptome 84460
38 ENSSSCG00000044908 38 Transcriptome 
39 CALN1 39 Transcriptome 83698
40 ENSSSCG00000047048 40 Transcriptome 
41 ENSSSCG00000043604 41 Transcriptome 
42 L-Alanine 42 Metabolome NA
43 L-Carnitine 43 Metabolome NA
44 L-Glutamine 44 Metabolome NA
45 L-Leucine 45 Metabolome NA
46 L-Serine 46 Metabolome NA
47 NicotinuricAcid 47 Metabolome NA
