from to value color id
1 1 15 0.540027316851696 palegreen 1
2 1 12 0.52313722478409 palegreen 2
3 1 41 0.526671755279144 orangered 3
4 2 15 0.612097705287693 palegreen 4
5 2 12 0.581324776658591 palegreen 5
6 2 37 0.518292545022023 palegreen 6
7 2 14 0.526928914863108 orangered 7
8 2 41 0.565041116224846 orangered 8
9 2 29 0.511192920894987 orangered 9
10 2 11 0.516241641025316 orangered 10
11 2 13 0.509839791113365 orangered 11
12 6 30 0.592204781982482 palegreen 12
13 6 22 0.654653342784921 palegreen 13
14 6 44 0.564981349662996 palegreen 14
15 6 35 0.601110096091153 palegreen 15
16 6 18 0.555594197371614 palegreen 16
17 6 16 0.824488090842193 palegreen 17
18 6 25 0.736467992737408 orangered 18
19 6 38 0.746643751931917 palegreen 19
20 6 21 0.798718647612673 orangered 20
21 6 36 0.681759098271576 palegreen 21
22 6 42 0.557839078786216 palegreen 22
23 6 40 0.610936378677563 palegreen 23
24 6 17 0.713599531163638 orangered 24
25 6 39 0.6343004377989 palegreen 25
26 6 34 0.69836226262041 palegreen 26
27 6 24 0.743820466577901 palegreen 27
28 6 31 0.713924584680051 orangered 28
29 6 33 0.669809503359781 orangered 29
30 6 26 0.562640699715921 palegreen 30
31 6 23 0.63028765933256 palegreen 31
32 6 62 0.733241871965374 orangered 32
33 6 5 0.543958535072093 palegreen 33
34 6 4 0.749884388922015 palegreen 34
35 6 3 0.515151278895303 orangered 35
36 6 64 0.597891728032495 palegreen 36
37 7 30 0.671043473955589 palegreen 37
38 7 22 0.653145556475047 palegreen 38
39 7 44 0.661010551562716 palegreen 39
40 7 35 0.67700985115289 palegreen 40
41 7 18 0.678198500866162 palegreen 41
42 7 16 0.839212760530526 palegreen 42
43 7 25 0.736923329389655 orangered 43
44 7 38 0.805457012741402 palegreen 44
45 7 21 0.825665993236457 orangered 45
46 7 36 0.729525626927058 palegreen 46
47 7 42 0.622450847851611 palegreen 47
48 7 40 0.69359282805751 palegreen 48
49 7 17 0.721607422538855 orangered 49
50 7 39 0.708218258123521 palegreen 50
51 7 34 0.770249153978176 palegreen 51
52 7 24 0.767462255023717 palegreen 52
53 7 31 0.723585216731042 orangered 53
54 7 33 0.744509739416855 orangered 54
55 7 26 0.617338260161901 palegreen 55
56 7 23 0.658984081124356 palegreen 56
57 7 62 0.509307566450076 orangered 57
58 7 5 0.581612825794103 palegreen 58
59 7 4 0.735093298578091 palegreen 59
60 7 50 0.512791099262165 orangered 60
61 7 3 0.565584395081502 orangered 61
62 7 64 0.59636195465081 palegreen 62
63 7 66 0.541625135110414 orangered 63
64 8 30 0.577349276616831 palegreen 64
65 8 22 0.551169126710147 palegreen 65
66 8 44 0.57124830065779 palegreen 66
67 8 35 0.58198105681433 palegreen 67
68 8 18 0.589419931906905 palegreen 68
69 8 16 0.710481286792403 palegreen 69
70 8 25 0.622163719553058 orangered 70
71 8 38 0.688060107813549 palegreen 71
72 8 21 0.700729449981789 orangered 72
73 8 36 0.622437698699166 palegreen 73
74 8 42 0.534367689376347 palegreen 74
75 8 40 0.59691119450503 palegreen 75
76 8 17 0.610274901112785 orangered 76
77 8 39 0.608053692018291 palegreen 77
78 8 34 0.66013951586227 palegreen 78
79 8 24 0.651139146361568 palegreen 79
80 8 31 0.612172260541736 orangered 80
81 8 33 0.638798292300501 orangered 81
82 8 26 0.52868562857029 palegreen 82
83 8 23 0.560259778585658 palegreen 83
84 8 4 0.618518022228522 palegreen 84
85 8 64 0.503230127576603 palegreen 85
86 9 30 0.55846663540216 palegreen 86
87 9 22 0.556801370864963 palegreen 87
88 9 44 0.547010865972421 palegreen 88
89 9 35 0.564047532750725 palegreen 89
90 9 18 0.557163230275981 palegreen 90
91 9 16 0.712604842673644 palegreen 91
92 9 25 0.627856612098025 orangered 92
93 9 38 0.676386686076903 palegreen 93
94 9 21 0.698994918485378 orangered 94
95 9 36 0.613553288733421 palegreen 95
96 9 42 0.519466371356034 palegreen 96
97 9 40 0.577035442962003 palegreen 97
98 9 17 0.613528860004923 orangered 98
99 9 39 0.590975388911337 palegreen 99
100 9 34 0.64417542380748 palegreen 100
101 9 24 0.649958343850488 palegreen 101
102 9 31 0.614934684047747 orangered 102
103 9 33 0.621767124254606 orangered 103
104 9 26 0.516786295049368 palegreen 104
105 9 23 0.556669235046469 palegreen 105
106 9 4 0.628875219203227 palegreen 106
107 9 64 0.508419686338027 palegreen 107
108 46 30 0.597061454165679 palegreen 108
109 46 22 0.653408512922331 palegreen 109
110 46 44 0.571167444737646 palegreen 110
111 46 35 0.605732133299484 palegreen 111
112 46 18 0.563778912047084 palegreen 112
113 46 16 0.824160365259266 palegreen 113
114 46 25 0.73522808794566 orangered 114
115 46 38 0.749739483807379 palegreen 115
116 46 21 0.799347251961629 orangered 116
117 46 36 0.68414302497061 palegreen 117
118 46 42 0.561693929200231 palegreen 118
119 46 40 0.616045438231685 palegreen 119
120 46 17 0.712962568506293 orangered 120
121 46 39 0.638717222190968 palegreen 121
122 46 34 0.702516740952807 palegreen 122
123 46 24 0.744297448828055 palegreen 123
124 46 31 0.713410346770435 orangered 124
125 46 33 0.67422323229856 orangered 125
126 46 26 0.565747689542972 palegreen 126
127 46 23 0.631338072443349 palegreen 127
128 46 62 0.715269093019031 orangered 128
129 46 5 0.545826488508073 palegreen 129
130 46 4 0.747483963120576 palegreen 130
131 46 3 0.518022303021467 orangered 131
132 46 64 0.596743438765386 palegreen 132
133 48 30 0.63162667747887 palegreen 133
134 48 22 0.661410690757772 palegreen 134
135 48 44 0.611235633482208 palegreen 135
136 48 35 0.639411854212051 palegreen 136
137 48 18 0.612779573148962 palegreen 137
138 48 16 0.839902469040634 palegreen 138
139 48 25 0.744963401575835 orangered 139
140 48 38 0.779490690231736 palegreen 140
141 48 21 0.818918610670646 orangered 141
142 48 36 0.709286387482289 palegreen 142
143 48 42 0.590964762936111 palegreen 143
144 48 40 0.652155101165557 palegreen 144
145 48 17 0.724973685165269 orangered 145
146 48 39 0.672153413538545 palegreen 146
147 48 34 0.736094294095675 palegreen 147
148 48 24 0.762028418516744 palegreen 148
149 48 31 0.725988808287796 orangered 149
150 48 33 0.708387917242481 orangered 150
151 48 26 0.591703046848155 palegreen 151
152 48 23 0.649314375363301 palegreen 152
153 48 62 0.648509124875913 orangered 153
154 48 5 0.565731895295363 palegreen 154
155 48 4 0.752199087366408 palegreen 155
156 48 3 0.541906937527011 orangered 156
157 48 64 0.603999754957442 palegreen 157
158 48 66 0.517068859325666 orangered 158
159 53 62 0.551235248221377 palegreen 159
160 54 62 0.504457537351255 orangered 160
161 55 30 0.529222966247906 palegreen 161
162 55 22 0.56244612781971 palegreen 162
163 55 44 0.510196799228361 palegreen 163
164 55 35 0.536130581530548 palegreen 164
165 55 18 0.508895641950393 palegreen 165
166 55 16 0.71259427935978 palegreen 166
167 55 25 0.633285327354039 orangered 167
168 55 38 0.656899010379115 palegreen 168
169 55 21 0.693552732159477 orangered 169
170 55 36 0.598301349247234 palegreen 170
171 55 40 0.546299703930137 palegreen 171
172 55 17 0.615548268886357 orangered 172
173 55 39 0.564160724018559 palegreen 173
174 55 34 0.618719766191285 palegreen 174
175 55 24 0.645512686289702 palegreen 175
176 55 31 0.616248723368056 orangered 176
177 55 33 0.59488850901134 orangered 177
178 55 23 0.549191784409417 palegreen 178
179 55 62 0.573354148711783 orangered 179
180 55 4 0.640936269801462 palegreen 180
181 55 64 0.513640423687363 palegreen 181
182 56 30 0.532564264086359 palegreen 182
183 56 22 0.567053613550314 palegreen 183
184 56 44 0.513169955864069 palegreen 184
185 56 35 0.539564636504226 palegreen 185
186 56 18 0.511529037004828 palegreen 186
187 56 16 0.718225726908293 palegreen 187
188 56 25 0.638446452316721 orangered 188
189 56 38 0.661529999573102 palegreen 189
190 56 21 0.698877442122131 orangered 190
191 56 36 0.602591078877662 palegreen 191
192 56 40 0.549733040369166 palegreen 192
193 56 17 0.620471140930847 orangered 193
194 56 39 0.567848014858888 palegreen 194
195 56 34 0.622877340192712 palegreen 195
196 56 24 0.650486394454951 palegreen 196
197 56 31 0.621156840171319 orangered 197
198 56 33 0.598816807029437 orangered 198
199 56 26 0.501039024024565 palegreen 199
200 56 23 0.55331703819345 palegreen 200
201 56 62 0.580805492600382 orangered 201
202 56 4 0.64634865085427 palegreen 202
203 56 64 0.517849992217788 palegreen 203
204 57 15 0.577580222092638 palegreen 204
205 57 12 0.55614068155985 palegreen 205
206 57 37 0.50855577524606 palegreen 206
207 57 14 0.505463130414322 orangered 207
208 57 41 0.554032398614756 orangered 208
209 57 11 0.51170359981033 orangered 209
210 57 28 0.510211583274137 orangered 210
211 58 15 0.610275757835951 palegreen 211
212 58 12 0.566356738190622 palegreen 212
213 58 14 0.510988909438337 orangered 213
214 58 41 0.52702433845942 orangered 214
215 58 29 0.513198995272486 orangered 215
216 58 51 0.504988589112668 palegreen 216
217 59 15 0.608503843235948 palegreen 217
218 59 12 0.593489000306126 palegreen 218
219 59 32 0.520132617925203 orangered 219
220 59 27 0.505504724201133 palegreen 220
221 59 37 0.555209341097436 palegreen 221
222 59 14 0.540746806754096 orangered 222
223 59 41 0.604480510875171 orangered 223
224 59 29 0.504040333094567 orangered 224
225 59 11 0.563591735827214 orangered 225
226 59 28 0.577698205178335 orangered 226
227 59 13 0.536043192321011 orangered 227
228 59 20 0.520299689364764 orangered 228
229 59 62 0.576699889102003 orangered 229
230 60 30 0.504841948496862 palegreen 230
231 60 35 0.50945830386845 palegreen 231
232 60 18 0.508718799311273 palegreen 232
233 60 16 0.634302380299074 palegreen 233
234 60 25 0.557426612519918 orangered 234
235 60 38 0.607221113797424 palegreen 235
236 60 21 0.62362614548431 orangered 236
237 60 36 0.550170713153722 palegreen 237
238 60 40 0.521765365612485 palegreen 238
239 60 17 0.545575973107294 orangered 239
240 60 39 0.533135310775281 palegreen 240
241 60 34 0.580129580220893 palegreen 241
242 60 24 0.579714146951016 palegreen 242
243 60 31 0.547014080022491 orangered 243
244 60 33 0.560560399424362 orangered 244
245 60 4 0.556577222246557 palegreen 245
246 61 18 0.551248144534263 orangered 246
247 61 15 0.583874938964531 palegreen 247
248 61 12 0.526494610603658 palegreen 248
249 61 52 0.51523566483109 palegreen 249
250 61 51 0.514129876937197 palegreen 250
251 61 65 0.501981634424213 palegreen 251
252 63 45 0.566122453906656 palegreen 252
253 63 12 0.513445033294225 orangered 253
254 63 32 0.665904471755262 palegreen 254
255 63 27 0.596272698105242 orangered 255
256 63 43 0.568441431432132 orangered 256
257 63 37 0.580138396922506 orangered 257
258 63 41 0.628676759797202 palegreen 258
259 63 10 0.534324303881293 orangered 259
260 63 11 0.627496599448243 palegreen 260
261 63 28 0.765042948854652 palegreen 261
262 63 13 0.52321997223565 palegreen 262
263 63 20 0.538890057917675 palegreen 263
264 63 19 0.663318204475727 palegreen 264
265 63 62 0.928887748489491 palegreen 265
266 63 4 0.50805761252636 orangered 266
267 67 15 0.535223041545261 palegreen 267
268 67 12 0.510115656950833 palegreen 268
269 69 30 0.515021090714472 palegreen 269
270 69 44 0.509560277073036 palegreen 270
271 69 35 0.519156504026934 palegreen 271
272 69 18 0.525745481105295 palegreen 272
273 69 16 0.633865078692202 palegreen 273
274 69 25 0.555084166889026 orangered 274
