label id group Gene_ID_human
1 Adenosine 1 Metabolome NA
2 Betaine_Y 2 Phenotype NA
3 Cadaverine_Y 3 Phenotype NA
4 CholineChloride 4 Metabolome NA
5 Creatinine_Y 5 Phenotype NA
6 D-Fructose 6 Metabolome NA
7 D-GluconicAcid 7 Metabolome NA
8 D.Fructose_Y 8 Phenotype NA
9 D.GluconicAcid_Y 9 Phenotype NA
10 D.Glucose_Y 10 Phenotype NA
11 D.Glucose.6.Phosphate_Y 11 Phenotype NA
12 D.Sorbitol_Y 12 Phenotype NA
13 BCL2L14 13 Transcriptome 79370
14 ME1 14 Transcriptome 4199
15 NAT1 15 Transcriptome 9
16 TBC1D8 16 Transcriptome 11138
17 PRSS12 17 Transcriptome 8492
18 ENSSSCG00000009648 18 Transcriptome 
19 EPHX2 19 Transcriptome 2053
20 SLC25A20 20 Transcriptome 788
21 HYAL1 21 Transcriptome 3373
22 MAGED1 22 Transcriptome 9500
23 ANGPTL4 23 Transcriptome 51129
24 N4BP3 24 Transcriptome 23138
25 DNAH11 25 Transcriptome 8701
26 EFHD1 26 Transcriptome 80303
27 ESM1 27 Transcriptome 11082
28 CCDC40 28 Transcriptome 55036
29 CCKAR 29 Transcriptome 886
30 EVA1C 30 Transcriptome 59271
31 P2RX1 31 Transcriptome 5023
32 ABCG1 32 Transcriptome 9619
33 CAMK2N1 33 Transcriptome 55450
34 CFL1 34 Transcriptome 1072
35 GGTA1 35 Transcriptome 2681
36 OVOL1 36 Transcriptome 5017
37 WSCD1 37 Transcriptome 23302
38 PLCXD3 38 Transcriptome 345557
39 AZGP1 39 Transcriptome 563
40 ADRB2 40 Transcriptome 154
41 SYT7 41 Transcriptome 9066
42 LIMA1 42 Transcriptome 51474
43 ENSSSCG00000029596 43 Transcriptome 
44 USP54 44 Transcriptome 159195
45 GIGYF2 45 Transcriptome 26058
46 PDE9A 46 Transcriptome 5152
47 ENSSSCG00000035706 47 Transcriptome 
48 CISD1 48 Transcriptome 55847
49 ENSSSCG00000009648 49 Transcriptome 
50 TRPM8 50 Transcriptome 79054
51 LIMA1 51 Transcriptome 51474
52 Galactitol_Y 52 Phenotype NA
53 Glycerophosphocholine 53 Metabolome NA
54 Glycerophosphocholine_Y 54 Phenotype NA
55 GuanidinoaceticAcid 55 Metabolome NA
56 GuanidinoaceticAcid_Y 56 Phenotype NA
57 L-Aspartate 57 Metabolome NA
58 L-GlutamicAcid 58 Metabolome NA
59 L-Glycine 59 Metabolome NA
60 L-Isoleucine 60 Metabolome NA
61 L-Leucine 61 Metabolome NA
62 L-Ornithine 62 Metabolome NA
63 L-Serine 63 Metabolome NA
64 L-Valine 64 Metabolome NA
65 L.Cystine_Y 65 Phenotype NA
66 L.Glycine_Y 66 Phenotype NA
67 L.Proline_Y 67 Phenotype NA
68 L.Serine_Y 68 Phenotype NA
69 Myo.Inositol_Y 69 Phenotype NA
70 N-Acetyl-L-AsparticAcid 70 Metabolome NA
71 NicotinuricAcid 71 Metabolome NA
72 Oxypurinol 72 Metabolome NA
73 S.Acetamidomethylcysteine_Y 73 Phenotype NA
74 ThreonicAcid_Y 74 Phenotype NA
75 TMAO_Y 75 Phenotype NA
