label id group Gene_ID_human
1 AceticAcid 1 Metabolome NA
2 D-Fructose 2 Metabolome NA
3 D-GluconicAcid 3 Metabolome NA
4 D.Fructose_Y 4 Phenotype NA
5 D.Fucose_Y 5 Phenotype NA
6 D.GluconicAcid_Y 6 Phenotype NA
7 D.Glucose_Y 7 Phenotype NA
8 D.Glucose.6.Phosphate_Y 8 Phenotype NA
9 D.Sorbitol_Y 9 Phenotype NA
10 NEMP1 10 Transcriptome 23306
11 CSMD2 11 Transcriptome 114784
12 ENSSSCG00000006592 12 Transcriptome 
13 SEC24D 13 Transcriptome 9871
14 CCDC71 14 Transcriptome 64925
15 TEX264 15 Transcriptome 51368
16 ENSSSCG00000014600 16 Transcriptome 
17 HSD17B6 17 Transcriptome 8630
18 GPRC5D 18 Transcriptome 55507
19 TGM3 19 Transcriptome 7053
20 ASPH 20 Transcriptome 444
21 INIP 21 Transcriptome 58493
22 MT1A 22 Transcriptome 4489
23 STX12 23 Transcriptome 23673
24 MMP25 24 Transcriptome 64386
25 MT1A 25 Transcriptome 4489
26 CYTIP 26 Transcriptome 9595
27 AZGP1 27 Transcriptome 563
28 PICALM 28 Transcriptome 8301
29 DUSP11 29 Transcriptome 8446
30 FOLH1B 30 Transcriptome 219595
31 PLA1A 31 Transcriptome 51365
32 PNKD 32 Transcriptome 25953
33 SOCS6 33 Transcriptome 9306
34 PLA1A 34 Transcriptome 51365
35 ENSSSCG00000035706 35 Transcriptome 
36 VPS39 36 Transcriptome 23339
37 MNDA 37 Transcriptome 4332
38 HIF1AN 38 Transcriptome 55662
39 PAK5 39 Transcriptome 57144
40 USP18 40 Transcriptome 11274
41 KYNU 41 Transcriptome 8942
42 MT1A 42 Transcriptome 4489
43 CHRAC1 43 Transcriptome 54108
44 ENSSSCG00000050382 44 Transcriptome 
45 FBXO4 45 Transcriptome 26272
46 RDH16 46 Transcriptome 8608
47 ZNF277 47 Transcriptome 11179
48 XIRP2 48 Transcriptome 129446
49 Galactitol_Y 49 Phenotype NA
50 GuanidinoaceticAcid 50 Metabolome NA
51 GuanidinoaceticAcid_Y 51 Phenotype NA
52 L-Asparagine 52 Metabolome NA
53 L-Citrulline 53 Metabolome NA
54 L-Cystine 54 Metabolome NA
55 L-Glycine 55 Metabolome NA
56 L-Methionine 56 Metabolome NA
57 L-Valine 57 Metabolome NA
58 L.Aspartate_Y 58 Phenotype NA
59 L.Carnitine_Y 59 Phenotype NA
60 L.Cystine_Y 60 Phenotype NA
61 L.Glycine_Y 61 Phenotype NA
62 L.Leucine_Y 62 Phenotype NA
63 L.Serine_Y 63 Phenotype NA
64 L.Valine_Y 64 Phenotype NA
65 Myo-Inositol 65 Metabolome NA
66 Myo.Inositol_Y 66 Phenotype NA
67 N.Acetylglycine_Y 67 Phenotype NA
68 NicotinuricAcid 68 Metabolome NA
69 S.Acetamidomethylcysteine_Y 69 Phenotype NA
70 ThreonicAcid_Y 70 Phenotype NA
71 TMAO_Y 71 Phenotype NA
