from to value color id
1 3 11 0.541905807705453 orangered 1
2 3 25 0.504495580812113 orangered 2
3 3 14 0.516126265448723 palegreen 3
4 3 16 0.602484210278015 palegreen 4
5 3 9 0.642072393499959 orangered 5
6 3 7 0.591882297854131 orangered 6
7 3 28 0.54304105071055 orangered 7
8 3 24 0.652280544510066 orangered 8
9 3 20 0.534900996669123 orangered 9
10 3 47 0.718950313394609 orangered 10
11 3 35 0.500468929625962 palegreen 11
12 3 41 0.517041661972684 palegreen 12
13 3 40 0.536822605215804 palegreen 13
14 4 19 0.920622899423061 palegreen 14
15 4 18 0.916262274817061 palegreen 15
16 4 17 0.916788569658548 palegreen 16
17 4 33 0.904316554078247 palegreen 17
18 4 11 0.877008987934613 palegreen 18
19 4 10 0.906529176002401 palegreen 19
20 4 29 0.893248971362932 palegreen 20
21 4 25 0.905064292956559 palegreen 21
22 4 13 0.883642819299995 palegreen 22
23 4 23 0.887799746264656 palegreen 23
24 4 26 0.896444913047941 palegreen 24
25 4 22 0.904006036615047 palegreen 25
26 4 30 0.87715269794291 palegreen 26
27 4 8 0.890349444711238 palegreen 27
28 4 12 0.874038290993493 palegreen 28
29 4 32 0.877557425475604 palegreen 29
30 4 14 0.821062356785987 orangered 30
31 4 31 0.860276471368998 palegreen 31
32 4 27 0.875020681401191 palegreen 32
33 4 16 0.813540108278711 orangered 33
34 4 47 0.514181409474758 palegreen 34
35 4 2 0.808134579652379 palegreen 35
36 4 35 0.673035406985668 orangered 36
37 4 36 0.652177939298558 orangered 37
38 4 38 0.874020561299888 orangered 38
39 4 41 0.828492235470133 orangered 39
40 4 34 0.600996441957425 palegreen 40
41 4 49 0.811320996657506 palegreen 41
42 4 37 0.821175273132219 orangered 42
43 4 39 0.698127704869018 orangered 43
44 4 40 0.851396641211138 orangered 44
45 5 16 0.523957603334518 palegreen 45
46 5 9 0.550942566485343 orangered 46
47 5 7 0.505780706444222 orangered 47
48 5 24 0.559183098770216 orangered 48
49 5 47 0.62081075328022 orangered 49
50 42 9 0.663702554343239 orangered 50
51 42 7 0.651954873450239 orangered 51
52 42 28 0.52981600294399 orangered 52
53 42 24 0.684191122183654 orangered 53
54 42 20 0.545319164733969 orangered 54
55 42 47 0.668438610202444 orangered 55
56 43 19 0.883214920098296 palegreen 56
57 43 18 0.883104179706469 palegreen 57
58 43 17 0.879686708960616 palegreen 58
59 43 33 0.877225078536639 palegreen 59
60 43 11 0.827619147764377 palegreen 60
61 43 10 0.876391390678076 palegreen 61
62 43 29 0.862355177669014 palegreen 62
63 43 25 0.862635046600826 palegreen 63
64 43 13 0.845397976117119 palegreen 64
65 43 23 0.85818845926535 palegreen 65
66 43 26 0.854868172502871 palegreen 66
67 43 22 0.866604137742851 palegreen 67
68 43 30 0.840978257329445 palegreen 68
69 43 8 0.856092342980067 palegreen 69
70 43 12 0.841295141430093 palegreen 70
71 43 32 0.849775709003867 palegreen 71
72 43 14 0.773451940624723 orangered 72
73 43 31 0.822159418525172 palegreen 73
74 43 27 0.842630053347237 palegreen 74
75 43 16 0.752155989065501 orangered 75
76 43 2 0.798880433070706 palegreen 76
77 43 35 0.62193479895429 orangered 77
78 43 36 0.631250441781059 orangered 78
79 43 38 0.837782504320963 orangered 79
80 43 41 0.781036797192277 orangered 80
81 43 34 0.602920268717761 palegreen 81
82 43 49 0.803664378326218 palegreen 82
83 43 37 0.786646965463866 orangered 83
84 43 39 0.654472097565818 orangered 84
85 43 40 0.801773279976358 orangered 85
86 44 19 0.82251495044604 orangered 86
87 44 18 0.803873072942804 orangered 87
88 44 17 0.818544982958249 orangered 88
89 44 33 0.772992517699642 orangered 89
90 44 11 0.833347872239573 orangered 90
91 44 10 0.785673550865598 orangered 91
92 44 29 0.778499634287638 orangered 92
93 44 25 0.829083788287952 orangered 93
94 44 13 0.79794627028348 orangered 94
95 44 23 0.769789257260762 orangered 95
96 44 26 0.819564382155477 orangered 96
97 44 22 0.81009156090686 orangered 97
98 44 30 0.785606337156427 orangered 98
99 44 8 0.788513157096364 orangered 99
100 44 12 0.770858394889014 orangered 100
101 44 32 0.755520987163556 orangered 101
102 44 14 0.785151464000725 palegreen 102
103 44 31 0.780044981874685 orangered 103
104 44 27 0.770315196190856 orangered 104
105 44 16 0.829407743422417 palegreen 105
106 44 47 0.715218783783757 orangered 106
107 44 2 0.636627363782292 orangered 107
108 44 35 0.687313968111088 palegreen 108
109 44 36 0.56250047419519 palegreen 109
110 44 38 0.783499118870402 palegreen 110
111 44 41 0.790135350138088 palegreen 111
112 44 49 0.633221281741786 orangered 112
113 44 37 0.737869552061351 palegreen 113
114 44 39 0.67908467015514 palegreen 114
115 44 40 0.815078561096134 palegreen 115
116 45 19 0.831280775690318 orangered 116
117 45 18 0.817902969168729 orangered 117
118 45 17 0.827470120390294 orangered 118
119 45 33 0.794179454038908 orangered 119
120 45 11 0.823780737059411 orangered 120
121 45 10 0.803030184007114 orangered 121
122 45 29 0.794041976464933 orangered 122
123 45 25 0.830336578910799 orangered 123
124 45 13 0.803312283599076 orangered 124
125 45 23 0.786662014327196 orangered 125
126 45 26 0.821389422441149 orangered 126
127 45 22 0.817827491975064 orangered 127
128 45 30 0.793264164629359 orangered 128
129 45 8 0.799492953532279 orangered 129
130 45 12 0.782791727512819 orangered 130
131 45 32 0.77413747559061 orangered 131
132 45 14 0.774408245364452 palegreen 132
133 45 31 0.784118112310243 orangered 133
134 45 27 0.782769121952088 orangered 134
135 45 16 0.800251417397114 palegreen 135
136 45 47 0.628066270176053 orangered 136
137 45 2 0.675044276647138 orangered 137
138 45 35 0.662778896319836 palegreen 138
139 45 36 0.575969902205804 palegreen 139
140 45 38 0.790878452608415 palegreen 140
141 45 41 0.78005806170932 palegreen 141
142 45 49 0.673918338678862 orangered 142
143 45 37 0.744175731687917 palegreen 143
144 45 39 0.665815515300758 palegreen 144
145 45 40 0.803607579755851 palegreen 145
146 48 16 0.544438922246535 orangered 146
147 48 15 0.508325673415922 orangered 147
148 48 21 0.540377330053561 orangered 148
149 48 6 0.515489118608114 palegreen 149
150 48 9 0.766785900052687 palegreen 150
151 48 7 0.759366674584007 palegreen 151
152 48 28 0.607272318041186 palegreen 152
153 48 24 0.791980086921461 palegreen 153
154 48 20 0.628850281420048 palegreen 154
155 48 47 0.760799990767439 palegreen 155
156 50 19 0.848460210535181 orangered 156
157 50 18 0.836140628127623 orangered 157
158 50 17 0.844620064845164 orangered 158
159 50 33 0.81375590076132 orangered 159
160 50 11 0.836297739620245 orangered 160
161 50 10 0.821820677710963 orangered 161
162 50 29 0.812222118528389 orangered 162
163 50 25 0.845643763233336 orangered 163
164 50 13 0.819147024993136 orangered 164
165 50 23 0.805037376695633 orangered 165
166 50 26 0.836676305863198 orangered 166
167 50 22 0.834509616754475 orangered 167
168 50 30 0.809483331775167 orangered 168
169 50 8 0.816644922148653 orangered 169
170 50 12 0.799877489694879 orangered 170
171 50 32 0.792717195477991 orangered 171
172 50 14 0.785743053882111 palegreen 172
173 50 31 0.799286909814424 orangered 173
174 50 27 0.799983026058957 orangered 174
175 50 16 0.807506259752615 palegreen 175
176 50 47 0.617890025986813 orangered 176
177 50 2 0.696723465514474 orangered 177
178 50 35 0.668691789310143 palegreen 178
