label id group Gene_ID_human
1 CholineChloride 1 Metabolome NA
2 D-Fructose 2 Metabolome NA
3 D.Glucose_Y 3 Phenotype NA
4 D.Glucose.6.Phosphate_Y 4 Phenotype NA
5 D.Mannose_Y 5 Phenotype NA
6 SDR9C7 6 Transcriptome 121214
7 LONP2 7 Transcriptome 83752
8 SMOC2 8 Transcriptome 64094
9 SLC28A2 9 Transcriptome 9153
10 MAGEL2 10 Transcriptome 54551
11 CTHRC1 11 Transcriptome 115908
12 OLFML2B 12 Transcriptome 25903
13 COL26A1 13 Transcriptome 136227
14 OMD 14 Transcriptome 4958
15 DNAH11 15 Transcriptome 8701
16 CD79B 16 Transcriptome 974
17 FKBP10 17 Transcriptome 60681
18 C1QTNF6 18 Transcriptome 114904
19 NES 19 Transcriptome 10763
20 FRRS1 20 Transcriptome 391059
21 FBXO17 21 Transcriptome 115290
22 DLK1 22 Transcriptome 8788
23 PDIA2 23 Transcriptome 64714
24 GLA 24 Transcriptome 2717
25 PTGS1 25 Transcriptome 5742
26 COL3A1 26 Transcriptome 1281
27 ABI3BP 27 Transcriptome 25890
28 APEX1 28 Transcriptome 328
29 DLK1 29 Transcriptome 8788
30 ENSSSCG00000051524 30 Transcriptome 
31 SMOC2 31 Transcriptome 64094
32 ENSSSCG00000050772 32 Transcriptome 
33 DCN 33 Transcriptome 1634
34 GuanidinoaceticAcid 34 Metabolome NA
35 L-Alanine 35 Metabolome NA
36 L-Glycine 36 Metabolome NA
37 L-Isoleucine 37 Metabolome NA
38 L-Leucine 38 Metabolome NA
39 L-Phenylalanine 39 Metabolome NA
40 L-Tyrosine 40 Metabolome NA
41 L-Valine 41 Metabolome NA
42 L.Carnitine_Y 42 Phenotype NA
43 L.Glycine_Y 43 Phenotype NA
44 L.Proline_Y 44 Phenotype NA
45 L.Valine_Y 45 Phenotype NA
46 Lactate 46 Metabolome NA
47 Myo-Inositol 47 Metabolome NA
48 Myo.Inositol_Y 48 Phenotype NA
49 NicotinuricAcid 49 Metabolome NA
50 S.Acetamidomethylcysteine_Y 50 Phenotype NA
51 ThreonicAcid_Y 51 Phenotype NA
52 TMAO_Y 52 Phenotype NA
