from to value color id
1 69 37 0.564370540240505 orangered 1
2 69 31 0.606719024763484 orangered 2
3 69 22 0.64031745128276 palegreen 3
4 69 17 0.631051561244291 orangered 4
5 69 20 0.61373717312046 orangered 5
6 69 16 0.604398019835801 orangered 6
7 69 30 0.60846948791789 orangered 7
8 69 12 0.669299692946329 palegreen 8
9 69 18 0.660020174822268 palegreen 9
10 69 15 0.631852990345535 palegreen 10
11 69 13 0.657323205874137 palegreen 11
12 69 9 0.557853534654624 palegreen 12
13 69 25 0.585128662080611 palegreen 13
14 69 21 0.602625618323657 orangered 14
15 69 27 0.653094805492025 palegreen 15
16 69 19 0.623318666519677 palegreen 16
17 69 24 0.643813540160463 orangered 17
18 69 26 0.535693175498382 palegreen 18
19 69 38 0.608066662248237 orangered 19
20 69 32 0.608393534943722 palegreen 20
21 69 54 0.547817035151688 orangered 21
22 69 2 0.708995327391497 orangered 22
23 69 51 0.521422452976227 palegreen 23
24 69 45 0.518727049588032 orangered 24
25 69 65 0.651625511547897 orangered 25
26 69 1 0.593662341129867 palegreen 26
27 69 64 0.506388798188839 palegreen 27
28 67 37 0.609571888071015 palegreen 28
29 67 31 0.666087542727139 palegreen 29
30 67 22 0.705050074543561 orangered 30
31 67 17 0.686822310911606 palegreen 31
32 67 20 0.668153446599905 palegreen 32
33 67 16 0.66483318173485 palegreen 33
34 67 30 0.663659505917668 palegreen 34
35 67 12 0.732107794661615 orangered 35
36 67 18 0.727809186428399 orangered 36
37 67 15 0.690102902185631 orangered 37
38 67 13 0.727671925966727 orangered 38
39 67 9 0.612031222108739 orangered 39
40 67 25 0.63646466852062 orangered 40
41 67 21 0.67011190678756 palegreen 41
42 67 27 0.713000702050788 orangered 42
43 67 19 0.692173111052159 orangered 43
44 67 24 0.713129617963022 palegreen 44
45 67 26 0.5872487106735 orangered 45
46 67 38 0.672198948469201 palegreen 46
47 67 32 0.670160843817015 orangered 47
48 67 54 0.611452552990202 palegreen 48
49 67 2 0.783980658159524 palegreen 49
50 67 51 0.554680645724007 orangered 50
51 67 45 0.57556393709005 palegreen 51
52 67 65 0.718426978581278 palegreen 52
53 67 1 0.659491450435442 orangered 53
54 67 64 0.55666729216802 orangered 54
55 67 3 0.528858111556939 orangered 55
56 68 37 0.60320529003075 orangered 56
57 68 31 0.615007111889708 orangered 57
58 68 22 0.642616576345367 palegreen 58
59 68 17 0.658237747052244 orangered 59
60 68 20 0.63963176335477 orangered 60
61 68 16 0.608636916287842 orangered 61
62 68 30 0.630288799383054 orangered 62
63 68 12 0.686777377613752 palegreen 63
64 68 18 0.659084317078696 palegreen 64
65 68 15 0.651595146228374 palegreen 65
66 68 13 0.647582395565265 palegreen 66
67 68 9 0.566744952471041 palegreen 67
68 68 25 0.611504639245292 palegreen 68
69 68 21 0.584406008650066 orangered 69
70 68 27 0.674439315849467 palegreen 70
71 68 19 0.607420957207225 palegreen 71
72 68 24 0.632989816283158 orangered 72
73 68 26 0.545690807609017 palegreen 73
74 68 38 0.601989803944767 orangered 74
75 68 32 0.60976438636363 palegreen 75
76 68 54 0.524152454425561 orangered 76
77 68 2 0.701263350723098 orangered 77
78 68 51 0.583707286764584 palegreen 78
79 68 45 0.506937546058606 orangered 79
80 68 65 0.651090803367328 orangered 80
81 68 50 0.520336093322046 palegreen 81
82 68 1 0.577742740277772 palegreen 82
83 68 64 0.511047342373904 palegreen 83
84 66 37 0.660779683949477 palegreen 84
85 66 31 0.685785051094693 palegreen 85
86 66 22 0.719025840474081 orangered 86
87 66 17 0.726925304117508 palegreen 87
88 66 20 0.706579585404772 palegreen 88
89 66 16 0.680210681342324 palegreen 89
90 66 30 0.6976849361766 palegreen 90
91 66 12 0.762643029172257 orangered 91
92 66 18 0.738722338086177 orangered 92
93 66 15 0.722355389783894 orangered 93
94 66 13 0.729233609637981 orangered 94
95 66 9 0.63148500148682 orangered 95
96 66 25 0.674883526668601 orangered 96
97 66 21 0.661729008061423 palegreen 97
98 66 27 0.747329197026355 orangered 98
99 66 19 0.68661655705247 orangered 99
100 66 24 0.713303538616058 palegreen 100
101 66 26 0.607471645450201 orangered 101
102 66 38 0.676743537580838 palegreen 102
103 66 32 0.682580172708713 orangered 103
104 66 54 0.596328448457937 palegreen 104
105 66 2 0.788596552776156 palegreen 105
106 66 49 0.514891879939575 orangered 106
107 66 51 0.629890057276699 orangered 107
108 66 45 0.572461823640241 palegreen 108
109 66 65 0.729612584850031 palegreen 109
110 66 50 0.551806081763763 orangered 110
111 66 70 0.505879083499336 orangered 111
112 66 1 0.653376984201457 orangered 112
113 66 48 0.513465422735456 orangered 113
114 66 64 0.570720800505639 orangered 114
115 66 3 0.529459930452834 orangered 115
116 46 12 0.500313948280699 palegreen 116
117 46 2 0.522234268318845 orangered 117
118 42 37 0.678881839986327 palegreen 118
119 42 31 0.680617871775991 palegreen 119
120 42 22 0.708826724115939 orangered 120
121 42 17 0.735215580456855 palegreen 121
122 42 20 0.714240769490805 palegreen 122
123 42 16 0.672106329486039 palegreen 123
124 42 30 0.702444469122853 palegreen 124
125 42 12 0.763077372517557 orangered 125
126 42 18 0.725776318667564 orangered 126
127 42 15 0.725151845335903 orangered 127
128 42 13 0.709857074964837 orangered 128
