label id group Gene_ID_human
1 CholineChloride 1 Metabolome NA
2 D-Fructose 2 Metabolome NA
3 D-GluconicAcid 3 Metabolome NA
4 TMEM231 4 Transcriptome 79583
5 SLC28A2 5 Transcriptome 9153
6 ENSSSCG00000006592 6 Transcriptome 
7 KCNIP3 7 Transcriptome 30818
8 IL1RL1 8 Transcriptome 9173
9 COG2 9 Transcriptome 22796
10 CYP17A1 10 Transcriptome 1586
11 APOD 11 Transcriptome 347
12 ZNF185 12 Transcriptome 7739
13 LDHA 13 Transcriptome 3939
14 IL31RA 14 Transcriptome 133396
15 MARVELD2 15 Transcriptome 153562
16 FNDC5 16 Transcriptome 252995
17 RMI2 17 Transcriptome 116028
18 ERBB3 18 Transcriptome 2065
19 GRHL1 19 Transcriptome 29841
20 GLT8D1 20 Transcriptome 55830
21 LMAN2L 21 Transcriptome 81562
22 ERBB3 22 Transcriptome 2065
23 TUBB2B 23 Transcriptome 347733
24 SQOR 24 Transcriptome 58472
25 DAG1 25 Transcriptome 1605
26 LRP10 26 Transcriptome 26020
27 DSG2 27 Transcriptome 1829
28 GLA 28 Transcriptome 2717
29 TM4SF5 29 Transcriptome 9032
30 MUC2 30 Transcriptome 4583
31 RSPO3 31 Transcriptome 84870
32 PEX19 32 Transcriptome 5824
33 ENSSSCG00000023627 33 Transcriptome 
34 AOC3 34 Transcriptome 8639
35 CDC45 35 Transcriptome 8318
36 AFMID 36 Transcriptome 125061
37 DCN 37 Transcriptome 1634
38 ENSSSCG00000046890 38 Transcriptome 
39 FRUCTOSE_ARTERE_Y 39 Phenotype NA
40 FRUCTOSE_VEINE_Y 40 Phenotype NA
41 GLUCOSE_ARTERE_Y 41 Phenotype NA
42 GLUCOSE_VEINE_Y 42 Phenotype NA
43 Glycerophosphocholine 43 Metabolome NA
44 GLYCOGENE_MUSCLE_Y 44 Phenotype NA
45 GuanidinoaceticAcid 45 Metabolome NA
46 IGF1_ARTERE_Y 46 Phenotype NA
47 L-Asparagine 47 Metabolome NA
48 L-Citrulline 48 Metabolome NA
49 L-Glycine 49 Metabolome NA
50 L-Isoleucine 50 Metabolome NA
51 L-Leucine 51 Metabolome NA
52 L-Serine 52 Metabolome NA
53 L-Valine 53 Metabolome NA
54 Lactate 54 Metabolome NA
55 MHC_E_MUSCLE_Y 55 Phenotype NA
56 MHC_F_E_MUSCLE_Y 56 Phenotype NA
57 MHC_F_EP_MUSCLE_Y 57 Phenotype NA
58 MHC_F_MUSCLE_Y 58 Phenotype NA
59 MHC_F_P_MUSCLE_Y 59 Phenotype NA
60 MHC_P_E_MUSCLE_Y 60 Phenotype NA
61 MHC_P_MUSCLE_Y 61 Phenotype NA
62 MHC_S_MUSCLE_Y 62 Phenotype NA
63 Myo-Inositol 63 Metabolome NA
64 N-Acetylglycine 64 Metabolome NA
65 NicotinuricAcid 65 Metabolome NA
66 PCO2_ARTERE_Y 66 Phenotype NA
67 PCO2_VEINE_Y 67 Phenotype NA
68 pH_ARTERE_Y 68 Phenotype NA
69 pH_VEINE_Y 69 Phenotype NA
70 S-Acetamidomethylcysteine 70 Metabolome NA
71 T4_totale_ARTERE_Y 71 Phenotype NA
