from to value color id
1 54 4 0.642278064117964 orangered 1
2 54 21 0.678593581111575 palegreen 2
3 54 16 0.684666283931788 orangered 3
4 54 27 0.569354123802528 palegreen 4
5 54 34 0.587211699867267 palegreen 5
6 54 17 0.540509586032341 orangered 6
7 54 13 0.677728354892108 orangered 7
8 54 31 0.585356741067581 orangered 8
9 54 18 0.600873626891008 orangered 9
10 54 12 0.510083922551965 orangered 10
11 54 23 0.681160623571626 palegreen 11
12 54 43 0.546419754049612 orangered 12
13 52 4 0.611236679879655 palegreen 13
14 52 21 0.672146931768655 orangered 14
15 52 16 0.660952869287311 palegreen 15
16 52 27 0.538958285428829 orangered 16
17 52 34 0.574660243741198 orangered 17
18 52 17 0.535506315369129 palegreen 18
19 52 13 0.67125551817704 palegreen 19
20 52 31 0.571740180191368 palegreen 20
21 52 18 0.574657883503674 palegreen 21
22 52 12 0.509756461265947 palegreen 22
23 52 23 0.675407418365449 orangered 23
24 52 43 0.554155640102865 palegreen 24
25 53 4 0.597130778764741 orangered 25
26 53 21 0.67741102338835 palegreen 26
27 53 16 0.653092651297047 orangered 27
28 53 27 0.524250536615662 palegreen 28
29 53 22 0.500094532854218 orangered 29
30 53 34 0.573878533662889 palegreen 30
31 53 17 0.539799947517448 orangered 31
32 53 13 0.676486563600856 orangered 32
33 53 31 0.5701153870439 orangered 33
34 53 18 0.563623169329644 orangered 34
35 53 2 0.502405762425661 palegreen 35
36 53 12 0.517171596760234 orangered 36
37 53 23 0.681240834338549 palegreen 37
38 53 43 0.568288341450573 orangered 38
39 51 4 0.541960749385458 palegreen 39
40 51 21 0.632667495678756 orangered 40
41 51 16 0.599101894076551 palegreen 41
42 51 34 0.531575693088792 orangered 42
43 51 17 0.504228723406831 palegreen 43
44 51 13 0.631782397238827 palegreen 44
45 51 31 0.527378247411823 palegreen 45
46 51 18 0.513461720401552 palegreen 46
47 51 23 0.636697068740534 orangered 47
48 51 43 0.538905221628309 palegreen 48
49 37 21 0.578607264786911 orangered 49
50 37 13 0.577698221127249 palegreen 50
51 37 23 0.584369947442085 orangered 51
52 37 43 0.530267659134603 palegreen 52
53 1 11 0.51199071639934 orangered 53
54 1 19 0.505236577970514 orangered 54
55 1 9 0.509315066567976 orangered 55
56 1 5 0.524409962677039 orangered 56
57 1 30 0.541409471003757 orangered 57
58 1 33 0.536307870123625 orangered 58
59 1 26 0.546901543195994 orangered 59
60 1 32 0.546901543195994 orangered 60
61 1 50 0.517272638600557 orangered 61
62 1 42 0.54920518100091 palegreen 62
63 35 4 0.505197855684814 palegreen 63
64 36 21 0.588351234209018 orangered 64
65 36 16 0.51727320283854 palegreen 65
66 36 13 0.587448432550156 palegreen 66
67 36 23 0.593761353327236 orangered 67
68 36 43 0.531100893347392 palegreen 68
69 44 7 0.522099711938712 orangered 69
70 44 19 0.51852447787872 palegreen 70
71 44 14 0.520152315208999 orangered 71
72 44 9 0.515578458768128 palegreen 72
73 44 5 0.511136444182122 palegreen 73
74 44 30 0.525574822182372 palegreen 74
75 44 10 0.507806521103721 orangered 75
76 44 33 0.5209235418235 palegreen 76
77 44 26 0.540328918440842 palegreen 77
78 44 32 0.540328918440842 palegreen 78
79 44 50 0.538255852702694 palegreen 79
80 44 42 0.56538792479497 orangered 80
81 49 11 0.784696816395478 palegreen 81
82 49 7 0.758887237530614 orangered 82
83 49 19 0.771994966643341 palegreen 83
84 49 29 0.662897411623353 orangered 84
85 49 14 0.745874182663282 orangered 85
86 49 9 0.778681112971797 palegreen 86
87 49 5 0.803015638074293 palegreen 87
88 49 30 0.829182280324544 palegreen 88
89 49 4 0.550608214890583 orangered 89
90 49 24 0.701607541525607 palegreen 90
91 49 10 0.730509754561529 orangered 91
92 49 8 0.655281799147016 orangered 92
93 49 25 0.690028119112857 orangered 93
94 49 33 0.821349869859447 palegreen 94
95 49 15 0.635103300293749 orangered 95
96 49 6 0.581973514827861 orangered 96
97 49 26 0.836993338482746 palegreen 97
98 49 32 0.836993338482746 palegreen 98
99 49 3 0.526921189046496 orangered 99
100 49 27 0.53990653924804 palegreen 100
101 49 28 0.745689621622477 palegreen 101
102 49 20 0.652055835093042 palegreen 102
103 49 50 0.78991591117381 palegreen 103
104 49 41 0.725518742868498 orangered 104
105 49 42 0.8390676909725 orangered 105
106 49 40 0.67395582982368 orangered 106
107 49 55 0.575790868714233 orangered 107
108 49 57 0.562545451216655 orangered 108
109 49 39 0.54819483326004 orangered 109
110 49 56 0.562524397681998 orangered 110
111 47 11 0.766837082140351 orangered 111
112 47 7 0.753654768161208 palegreen 112
113 47 19 0.763644985535776 orangered 113
114 47 29 0.658542801392072 palegreen 114
115 47 14 0.742415382626903 palegreen 115
116 47 9 0.768471130287944 orangered 116
117 47 5 0.787545723480179 orangered 117
118 47 30 0.8126752892298 orangered 118
119 47 4 0.564883035129922 palegreen 119
120 47 24 0.688408310829593 orangered 120
121 47 10 0.726730127894853 palegreen 121
122 47 8 0.640454749027201 palegreen 122
123 47 25 0.673649729104861 palegreen 123
124 47 33 0.805074107054373 orangered 124
125 47 15 0.639120498447938 palegreen 125
126 47 6 0.567432188286104 palegreen 126
127 47 26 0.822687317311645 orangered 127
128 47 32 0.822687317311645 orangered 128
129 47 3 0.529750006585805 palegreen 129
130 47 27 0.55117783369746 orangered 130
131 47 28 0.731798178345728 orangered 131
132 47 20 0.644435057616779 orangered 132
133 47 50 0.78322168988754 orangered 133
134 47 41 0.715208874828939 palegreen 134
135 47 42 0.830428013022146 palegreen 135
136 47 40 0.666349634957388 palegreen 136
137 47 55 0.553624868789136 palegreen 137
138 47 57 0.551372491785025 palegreen 138
139 47 39 0.555616402061143 palegreen 139
140 47 56 0.553283940527085 palegreen 140
141 48 11 0.801055408184045 orangered 141
142 48 7 0.772885280604637 palegreen 142
143 48 19 0.786693011995429 orangered 143
144 48 29 0.675092176915188 palegreen 144
145 48 14 0.759377291244563 palegreen 145
