label id group Gene_ID_human
1 ALBUMINE_VEINE_Y 1 Phenotype NA
2 TTBK1 2 Transcriptome 84630
3 TBX18 3 Transcriptome 9096
4 TBC1D8 4 Transcriptome 11138
5 MSRB2 5 Transcriptome 22921
6 ZNF662 6 Transcriptome 389114
7 APOD 7 Transcriptome 347
8 ANO1 8 Transcriptome 55107
9 SRI 9 Transcriptome 6717
10 IL31RA 10 Transcriptome 133396
11 C1orf115 11 Transcriptome 79762
12 TNFRSF12A 12 Transcriptome 51330
13 DUOX1 13 Transcriptome 53905
14 APOD 14 Transcriptome 347
15 HEYL 15 Transcriptome 26508
16 GLRB 16 Transcriptome 2743
17 STS 17 Transcriptome 412
18 SPECC1 18 Transcriptome 92521
19 RUNDC1 19 Transcriptome 146923
20 MLX 20 Transcriptome 6945
21 ZNRF3 21 Transcriptome 84133
22 HABP4 22 Transcriptome 22927
23 CYP3A22 23 Transcriptome 
24 S100B 24 Transcriptome 6285
25 TTC3 25 Transcriptome 7267
26 MIOX 26 Transcriptome 55586
27 ENSSSCG00000014368 27 Transcriptome 
28 SCO2 28 Transcriptome 9997
29 IL1RL1 29 Transcriptome 9173
30 GPR183 30 Transcriptome 1880
31 SIK2 31 Transcriptome 23235
32 MIOX 32 Transcriptome 55586
33 MIOX 33 Transcriptome 55586
34 ZFYVE26 34 Transcriptome 23503
35 FRUCTOSE_VEINE_Y 35 Phenotype NA
36 GLUCOSE_ARTERE_Y 36 Phenotype NA
37 GLUCOSE_VEINE_Y 37 Phenotype NA
38 Glycerophosphocholine 38 Metabolome NA
39 L-Asparagine 39 Metabolome NA
40 L-Isoleucine 40 Metabolome NA
41 L-Leucine 41 Metabolome NA
42 L-Valine 42 Metabolome NA
43 Lactate 43 Metabolome NA
44 MHC_E_MUSCLE_Y 44 Phenotype NA
45 MHC_F_E_MUSCLE_Y 45 Phenotype NA
46 MHC_F_EP_MUSCLE_Y 46 Phenotype NA
47 MHC_F_MUSCLE_Y 47 Phenotype NA
48 MHC_F_P_MUSCLE_Y 48 Phenotype NA
49 MHC_P_MUSCLE_Y 49 Phenotype NA
50 Myo-Inositol 50 Metabolome NA
51 PCO2_ARTERE_Y 51 Phenotype NA
52 PCO2_VEINE_Y 52 Phenotype NA
53 pH_ARTERE_Y 53 Phenotype NA
54 pH_VEINE_Y 54 Phenotype NA
55 Phosphocholine 55 Metabolome NA
56 SyringicAcid 56 Metabolome NA
57 TMAO 57 Metabolome NA
