label id group Gene_ID_human
1 CholineChloride 1 Metabolome NA
2 Citrate 2 Metabolome NA
3 D-Fructose 3 Metabolome NA
4 D-Sorbitol 4 Metabolome NA
5 PARVB 5 Transcriptome 29780
6 GPR176 6 Transcriptome 11245
7 ACP6 7 Transcriptome 51205
8 BFSP1 8 Transcriptome 631
9 ACSS2 9 Transcriptome 55902
10 CYP17A1 10 Transcriptome 1586
11 CCL19 11 Transcriptome 6363
12 APOD 12 Transcriptome 347
13 CILP2 13 Transcriptome 148113
14 SRI 14 Transcriptome 6717
15 QSOX1 15 Transcriptome 5768
16 BLVRA 16 Transcriptome 644
17 ND1 17 Transcriptome 4535
18 RNF13 18 Transcriptome 11342
19 C1orf115 19 Transcriptome 79762
20 SLC30A2 20 Transcriptome 7780
21 TCEAL3 21 Transcriptome 85012
22 FIBIN 22 Transcriptome 387758
23 FRRS1 23 Transcriptome 391059
24 TPSB2 24 Transcriptome 64499
25 LRP10 25 Transcriptome 26020
26 ZNRF3 26 Transcriptome 84133
27 FCN2 27 Transcriptome 2220
28 LIMA1 28 Transcriptome 51474
29 ENSSSCG00000033806 29 Transcriptome 
30 MYL12A 30 Transcriptome 10627
31 MPC2 31 Transcriptome 25874
32 ENSSSCG00000042554 32 Transcriptome 
33 ALDH8A1 33 Transcriptome 64577
34 ENSSSCG00000046890 34 Transcriptome 
35 MBD2 35 Transcriptome 8932
36 FRUCTOSE_ARTERE_Y 36 Phenotype NA
37 FRUCTOSE_VEINE_Y 37 Phenotype NA
38 GLUCOSE_ARTERE_Y 38 Phenotype NA
39 GLUCOSE_VEINE_Y 39 Phenotype NA
40 GLYCOGENE_FOIE_Y 40 Phenotype NA
41 GLYCOGENE_MUSCLE_Y 41 Phenotype NA
42 GuanidinoaceticAcid 42 Metabolome NA
43 L-Carnitine 43 Metabolome NA
44 L-Glycine 44 Metabolome NA
45 L-Isoleucine 45 Metabolome NA
46 L-Valine 46 Metabolome NA
47 Lactate 47 Metabolome NA
48 MHC_E_MUSCLE_Y 48 Phenotype NA
49 MHC_F_E_MUSCLE_Y 49 Phenotype NA
50 MHC_F_EP_MUSCLE_Y 50 Phenotype NA
51 MHC_F_MUSCLE_Y 51 Phenotype NA
52 MHC_F_P_MUSCLE_Y 52 Phenotype NA
53 MHC_P_E_MUSCLE_Y 53 Phenotype NA
54 MHC_P_MUSCLE_Y 54 Phenotype NA
55 N-Acetylglycine 55 Metabolome NA
56 PCO2_ARTERE_Y 56 Phenotype NA
57 PCO2_VEINE_Y 57 Phenotype NA
58 pH_ARTERE_Y 58 Phenotype NA
59 pH_VEINE_Y 59 Phenotype NA
60 Phosphocholine 60 Metabolome NA
61 SyringicAcid 61 Metabolome NA
62 Taurine 62 Metabolome NA
63 TMAO 63 Metabolome NA
