label id group Gene_ID_human
1 Adenosine 1 Metabolome NA
2 CholineChloride 2 Metabolome NA
3 D-Fructose 3 Metabolome NA
4 D-GluconicAcid 4 Metabolome NA
5 CADM4 5 Transcriptome 199731
6 ZBTB2 6 Transcriptome 57621
7 HMOX2 7 Transcriptome 3163
8 COG2 8 Transcriptome 22796
9 ANGPTL4 9 Transcriptome 51129
10 DNAH11 10 Transcriptome 8701
11 CLK1 11 Transcriptome 1195
12 ESM1 12 Transcriptome 11082
13 PMAIP1 13 Transcriptome 5366
14 CDC25A 14 Transcriptome 993
15 P2RX1 15 Transcriptome 5023
16 C16orf72 16 Transcriptome 29035
17 EDDM3B 17 Transcriptome 64184
18 SEMA4D 18 Transcriptome 10507
19 PVR 19 Transcriptome 5817
20 CFL1 20 Transcriptome 1072
21 ZFC3H1 21 Transcriptome 196441
22 SLC39A8 22 Transcriptome 64116
23 CLDN1 23 Transcriptome 9076
24 AZGP1 24 Transcriptome 563
25 KIAA1109 25 Transcriptome 84162
26 KHNYN 26 Transcriptome 23351
27 CD55 27 Transcriptome 1604
28 ENSSSCG00000029596 28 Transcriptome 
29 HES2 29 Transcriptome 54626
30 CDH7 30 Transcriptome 1005
31 RNF144B 31 Transcriptome 255488
32 EXPH5 32 Transcriptome 23086
33 LURAP1L 33 Transcriptome 286343
34 SALL2 34 Transcriptome 6297
35 MAF 35 Transcriptome 4094
36 ENSSSCG00000035706 36 Transcriptome 
37 MNDA 37 Transcriptome 4332
38 CD55 38 Transcriptome 1604
39 HGF 39 Transcriptome 3082
40 FES 40 Transcriptome 2242
41 ENSSSCG00000043702 41 Transcriptome 
42 HOXC6 42 Transcriptome 3223
43 CAMK2B 43 Transcriptome 816
44 FRUCTOSE_ARTERE_Y 44 Phenotype NA
45 FRUCTOSE_VEINE_Y 45 Phenotype NA
46 GLUCOSE_ARTERE_Y 46 Phenotype NA
47 GLUCOSE_VEINE_Y 47 Phenotype NA
48 Glycerophosphocholine 48 Metabolome NA
49 GuanidinoaceticAcid 49 Metabolome NA
50 IGF1_ARTERE_Y 50 Phenotype NA
51 L-Aspartate 51 Metabolome NA
52 L-GlutamicAcid 52 Metabolome NA
53 L-Glycine 53 Metabolome NA
54 L-Isoleucine 54 Metabolome NA
55 L-Leucine 55 Metabolome NA
56 L-Serine 56 Metabolome NA
57 L-Valine 57 Metabolome NA
58 Lactate 58 Metabolome NA
59 LACTATE_ARTERE_Y 59 Phenotype NA
60 LACTATE_VEINE_Y 60 Phenotype NA
61 N-Acetyl-L-AsparticAcid 61 Metabolome NA
62 NicotinuricAcid 62 Metabolome NA
63 PCO2_ARTERE_Y 63 Phenotype NA
64 PCO2_VEINE_Y 64 Phenotype NA
65 pH_ARTERE_Y 65 Phenotype NA
66 pH_VEINE_Y 66 Phenotype NA
67 PO2_ARTERE_Y 67 Phenotype NA
68 PO2_VEINE_Y 68 Phenotype NA
