label id group Gene_ID_human
1 3-HydroxyphenylAceticAcid 1 Metabolome NA
2 Adenosine 2 Metabolome NA
3 CholineChloride 3 Metabolome NA
4 D-Fructose 4 Metabolome NA
5 D-Sorbitol 5 Metabolome NA
6 DNAJA4 6 Transcriptome 55466
7 ENSSSCG00000002405 7 Transcriptome 
8 AWN 8 Transcriptome 
9 CCDC183 9 Transcriptome 84960
10 SYBU 10 Transcriptome 55638
11 TTC24 11 Transcriptome 164118
12 CGREF1 12 Transcriptome 10669
13 DCLK3 13 Transcriptome 85443
14 CCDC191 14 Transcriptome 57577
15 SLC25A53 15 Transcriptome 401612
16 ZCCHC18 16 Transcriptome 644353
17 GPR37 17 Transcriptome 2861
18 ATP8 18 Transcriptome 4509
19 TCEAL3 19 Transcriptome 85012
20 TMEM154 20 Transcriptome 201799
21 DAB1 21 Transcriptome 1600
22 SSR2 22 Transcriptome 6746
23 ABHD4 23 Transcriptome 63874
24 LIMA1 24 Transcriptome 51474
25 ENSSSCG00000035567 25 Transcriptome 
26 ENSSSCG00000029938 26 Transcriptome 
27 STAU2 27 Transcriptome 27067
28 SLTM 28 Transcriptome 79811
29 MYL12A 29 Transcriptome 10627
30 S100A12 30 Transcriptome 6283
31 ENSSSCG00000048556 31 Transcriptome 
32 NDUFB5 32 Transcriptome 4711
33 ENSSSCG00000042268 33 Transcriptome 
34 ENSSSCG00000044207 34 Transcriptome 
35 GLUCOSE_ARTERE_Y 35 Phenotype NA
36 GLUCOSE_VEINE_Y 36 Phenotype NA
37 GLYCOGENE_MUSCLE_Y 37 Phenotype NA
38 Hypoxanthine 38 Metabolome NA
39 IGF1_ARTERE_Y 39 Phenotype NA
40 L-Carnitine 40 Metabolome NA
41 L-Citrulline 41 Metabolome NA
42 L-Cystine 42 Metabolome NA
43 L-GlutamicAcid 43 Metabolome NA
44 L-Glutamine 44 Metabolome NA
45 L-Isoleucine 45 Metabolome NA
46 L-Leucine 46 Metabolome NA
47 L-Serine 47 Metabolome NA
48 L-Valine 48 Metabolome NA
49 Lactate 49 Metabolome NA
50 LACTATE_ARTERE_Y 50 Phenotype NA
51 LACTATE_VEINE_Y 51 Phenotype NA
52 MHC_E_MUSCLE_Y 52 Phenotype NA
53 MHC_P_E_MUSCLE_Y 53 Phenotype NA
54 Myo-Inositol 54 Metabolome NA
55 N-Acetylglycine 55 Metabolome NA
56 NicotinuricAcid 56 Metabolome NA
57 Oxypurinol 57 Metabolome NA
58 PCO2_ARTERE_Y 58 Phenotype NA
59 PCO2_VEINE_Y 59 Phenotype NA
60 pH_ARTERE_Y 60 Phenotype NA
61 pH_VEINE_Y 61 Phenotype NA
62 PO2_ARTERE_Y 62 Phenotype NA
63 PO2_VEINE_Y 63 Phenotype NA
64 Taurine 64 Metabolome NA
