label id group Gene_ID_human
1 Creatine 1 Metabolome NA
2 D-Fructose 2 Metabolome NA
3 D-Sorbitol 3 Metabolome NA
4 SMOC2 4 Transcriptome 64094
5 MAGEL2 5 Transcriptome 54551
6 COL5A1 6 Transcriptome 1289
7 CTHRC1 7 Transcriptome 115908
8 OLFML2B 8 Transcriptome 25903
9 COL26A1 9 Transcriptome 136227
10 OMD 10 Transcriptome 4958
11 DAZAP1 11 Transcriptome 26528
12 QSOX1 12 Transcriptome 5768
13 CD79B 13 Transcriptome 974
14 FKBP10 14 Transcriptome 60681
15 C1QTNF6 15 Transcriptome 114904
16 TIAM2 16 Transcriptome 26230
17 NES 17 Transcriptome 10763
18 HSPH1 18 Transcriptome 10808
19 DUSP11 19 Transcriptome 8446
20 SLC6A6 20 Transcriptome 6533
21 DLK1 21 Transcriptome 8788
22 PDIA2 22 Transcriptome 64714
23 PTGS1 23 Transcriptome 5742
24 COL3A1 24 Transcriptome 1281
25 ABI3BP 25 Transcriptome 25890
26 DLK1 26 Transcriptome 8788
27 ENSSSCG00000051524 27 Transcriptome 
28 DCN 28 Transcriptome 1634
29 GLUCOSE_ARTERE_Y 29 Phenotype NA
30 GLUCOSE_VEINE_Y 30 Phenotype NA
31 GLYCOGENE_FOIE_Y 31 Phenotype NA
32 GLYCOGENE_MUSCLE_Y 32 Phenotype NA
33 L-Alanine 33 Metabolome NA
34 L-GlutamicAcid 34 Metabolome NA
35 L-Glutamine 35 Metabolome NA
36 L-Glycine 36 Metabolome NA
37 L-Isoleucine 37 Metabolome NA
38 L-Leucine 38 Metabolome NA
39 L-Phenylalanine 39 Metabolome NA
40 L-Serine 40 Metabolome NA
41 L-Tyrosine 41 Metabolome NA
42 L-Valine 42 Metabolome NA
43 Lactate 43 Metabolome NA
44 MHC_E_MUSCLE_Y 44 Phenotype NA
45 MHC_F_MUSCLE_Y 45 Phenotype NA
46 MHC_P_MUSCLE_Y 46 Phenotype NA
47 Myo-Inositol 47 Metabolome NA
48 NicotinuricAcid 48 Metabolome NA
