label id group Gene_ID_human
1 D-Fructose 1 Metabolome NA
2 ENSSSCG00000050616 2 Transcriptome 
3 TMEM62 3 Transcriptome 80021
4 RASGRP1 4 Transcriptome 10125
5 MAGEL2 5 Transcriptome 54551
6 KCNV1 6 Transcriptome 27012
7 CTHRC1 7 Transcriptome 115908
8 OLFML2B 8 Transcriptome 25903
9 CPXM1 9 Transcriptome 56265
10 ACSS2 10 Transcriptome 55902
11 COL26A1 11 Transcriptome 136227
12 TXNDC11 12 Transcriptome 51061
13 ALOX5AP 13 Transcriptome 241
14 DOK2 14 Transcriptome 9046
15 PLAC9 15 Transcriptome 219348
16 MKRN2OS 16 Transcriptome 100129480
17 CCDC80 17 Transcriptome 151887
18 CD209 18 Transcriptome 30835
19 NPTX1 19 Transcriptome 4884
20 FKBP10 20 Transcriptome 60681
21 CD68 21 Transcriptome 968
22 RCN3 22 Transcriptome 57333
23 C1QTNF6 23 Transcriptome 114904
24 C5AR1 24 Transcriptome 728
25 NES 25 Transcriptome 10763
26 SLCO2A1 26 Transcriptome 6578
27 CLEC3B 27 Transcriptome 7123
28 FRRS1 28 Transcriptome 391059
29 CCL14 29 Transcriptome 6358
30 STAB1 30 Transcriptome 23166
31 DLK1 31 Transcriptome 8788
32 LIMA1 32 Transcriptome 51474
33 CD163 33 Transcriptome 9332
34 PDIA2 34 Transcriptome 64714
35 UGT2A3 35 Transcriptome 79799
36 PTGS1 36 Transcriptome 5742
37 PLEKHO2 37 Transcriptome 80301
38 ABI3BP 38 Transcriptome 25890
39 ENSSSCG00000033457 39 Transcriptome 
40 TSR1 40 Transcriptome 55720
41 APEX1 41 Transcriptome 328
42 DLK1 42 Transcriptome 8788
43 INPP5B 43 Transcriptome 3633
44 C1QC 44 Transcriptome 714
45 LRRC17 45 Transcriptome 10234
46 ENSSSCG00000026140 46 Transcriptome 
47 ENSSSCG00000049524 47 Transcriptome 
48 ENSSSCG00000051524 48 Transcriptome 
49 DCN 49 Transcriptome 1634
50 L-Alanine 50 Metabolome NA
51 L-GlutamicAcid 51 Metabolome NA
52 L-Glutamine 52 Metabolome NA
53 L-Leucine 53 Metabolome NA
54 L-Serine 54 Metabolome NA
55 L-Tyrosine 55 Metabolome NA
56 L-Valine 56 Metabolome NA
57 NicotinuricAcid 57 Metabolome NA
