from to value color id
1 28 1 0.811930836162354 palegreen 1
2 28 41 0.738202834672597 orangered 2
3 28 45 0.578727117961958 orangered 3
4 28 44 0.90840036947076 orangered 4
5 28 47 0.873563620453694 orangered 5
6 28 48 0.813320871902721 palegreen 6
7 28 46 0.934595719646374 orangered 7
8 26 1 0.816369451404927 palegreen 8
9 26 41 0.733734815769367 orangered 9
10 26 45 0.598852779354644 orangered 10
11 26 44 0.915558764008611 orangered 11
12 26 47 0.873946118160066 orangered 12
13 26 48 0.813949820958841 palegreen 13
14 26 46 0.926569098063619 orangered 14
15 22 1 0.817591467450493 palegreen 15
16 22 41 0.733649856597996 orangered 16
17 22 45 0.602109459861226 orangered 17
18 22 44 0.917234330576104 orangered 18
19 22 47 0.874643024108094 orangered 19
20 22 48 0.814637039626705 palegreen 20
21 22 46 0.926128212101789 orangered 21
22 40 1 0.812530022317236 palegreen 22
23 40 41 0.716384273602617 orangered 23
24 40 45 0.623761867728588 orangered 24
25 40 44 0.914836494651805 orangered 25
26 40 47 0.86265513387151 orangered 26
27 40 48 0.803882163021506 palegreen 27
28 40 46 0.900739913148629 orangered 28
29 9 1 0.76123901776751 palegreen 29
30 9 41 0.700693912626108 orangered 30
31 9 45 0.525481148391859 orangered 31
32 9 44 0.849473551907927 orangered 32
33 9 47 0.823456257587831 orangered 33
34 9 48 0.766393741968392 palegreen 34
35 9 46 0.889499013145398 orangered 35
36 7 1 0.81377379498632 palegreen 36
37 7 41 0.733203259932421 orangered 37
38 7 45 0.593355580707796 orangered 38
39 7 44 0.912183304137364 orangered 39
40 7 47 0.872098000675546 orangered 40
41 7 48 0.812170491027945 palegreen 41
42 7 46 0.926405695606735 orangered 42
43 37 1 0.788303485149248 palegreen 43
44 37 41 0.720132180489973 orangered 44
45 37 45 0.555081801556151 orangered 45
46 37 44 0.881086256015405 orangered 46
47 37 47 0.849905006486181 orangered 47
48 37 48 0.791184359791109 palegreen 48
49 37 46 0.912668204515588 orangered 49
50 34 1 0.798301939045304 palegreen 50
51 34 41 0.718933957832834 orangered 51
52 34 45 0.582731251963024 orangered 52
53 34 44 0.89492533804871 orangered 53
54 34 47 0.855347141255907 orangered 54
55 34 48 0.796581298576277 palegreen 55
56 34 46 0.908283758602635 orangered 56
57 12 43 0.512072885407509 palegreen 57
58 12 1 0.775675413863447 palegreen 58
59 12 41 0.721609073666365 orangered 59
60 12 45 0.520233215058444 orangered 60
61 12 44 0.863616863603168 orangered 61
62 12 47 0.843012739006721 orangered 62
63 12 48 0.784351644010869 palegreen 63
64 12 46 0.918149441459765 orangered 64
65 33 1 0.786735734546464 palegreen 65
66 33 41 0.715917170807563 orangered 66
67 33 45 0.559528736105875 orangered 67
68 33 44 0.880051456846992 orangered 68
69 33 47 0.846777100076181 orangered 69
70 33 48 0.788361662501652 palegreen 70
71 33 46 0.906554367099483 orangered 71
72 31 1 0.800681235773544 palegreen 72
73 31 41 0.721796217057422 orangered 73
74 31 45 0.583032851615641 orangered 74
75 31 44 0.89740710946546 orangered 75
76 31 47 0.858268167658523 orangered 76
77 31 48 0.799278457713955 palegreen 77
78 31 46 0.912102312436961 orangered 78
79 8 1 0.750864263005518 palegreen 79
80 8 41 0.690274130858163 orangered 80
81 8 45 0.520055218658198 orangered 81
82 8 44 0.838120620274418 orangered 82
83 8 47 0.811784011822635 orangered 83
84 8 48 0.755558108951362 palegreen 84
85 8 46 0.876032027018874 orangered 85
86 11 1 0.786390738541467 palegreen 86
87 11 41 0.700826579901997 orangered 87
88 11 45 0.588758035767284 orangered 88
89 11 44 0.883475276821629 orangered 89
90 11 47 0.838771988423769 orangered 90
91 11 48 0.781382703065367 palegreen 91
92 11 46 0.883330763487752 orangered 92
93 16 1 0.800341008791333 palegreen 93
94 16 41 0.707828196092893 orangered 94
95 16 45 0.61003503358551 orangered 95
96 16 44 0.900547960459778 orangered 96
97 16 47 0.850845879514735 orangered 97
98 16 48 0.792806251624201 palegreen 98
99 16 46 0.890611577803231 orangered 99
100 5 1 0.803132918936293 palegreen 100
101 5 41 0.713962777314113 orangered 101
102 5 45 0.60485180097202 orangered 102
103 5 44 0.90274441593939 orangered 103
104 5 47 0.855707554796436 orangered 104
105 5 48 0.797217275405758 palegreen 105
106 5 46 0.89938046258041 orangered 106
107 39 1 0.767824411752679 palegreen 107
108 39 41 0.702663825928398 orangered 108
109 39 45 0.538188675545216 orangered 109
110 39 44 0.857877183816195 orangered 110
111 39 47 0.828466060861916 orangered 111
112 39 48 0.771186956109869 palegreen 112
113 39 46 0.890873344016385 orangered 113
114 4 1 0.793347768380849 palegreen 114
115 4 41 0.705657730267332 orangered 115
116 4 45 0.596697190022597 orangered 116
117 4 44 0.891644127431642 orangered 117
118 4 47 0.845485228435966 orangered 118
119 4 48 0.787680922268366 palegreen 119
120 4 46 0.889030789724884 orangered 120
121 6 1 0.794680350763368 palegreen 121
122 6 41 0.704719578280228 orangered 122
123 6 45 0.60193504257404 orangered 123
124 6 44 0.893689286450909 orangered 124
125 6 47 0.845808391487874 orangered 125
126 6 48 0.788050771271827 palegreen 126
127 6 46 0.887243927308154 orangered 127
128 20 1 0.770180169683187 palegreen 128
129 20 41 0.697998762397471 orangered 129
130 20 45 0.553445395205873 orangered 130
131 20 44 0.862267806747191 orangered 131
132 20 47 0.827484116713983 orangered 132
133 20 48 0.77049112179405 palegreen 133
134 20 46 0.883070114446429 orangered 134
135 23 1 0.787544135385414 palegreen 135
136 23 41 0.703344955076851 orangered 136
137 23 45 0.58664854729242 orangered 137
138 23 44 0.884386790918706 orangered 138
139 23 47 0.840772209142923 orangered 139
140 23 48 0.783197830111541 palegreen 140
141 23 46 0.88692873662455 orangered 141
142 10 1 0.785605103004912 palegreen 142
143 10 41 0.715507708606657 orangered 143
144 10 45 0.557489134443694 orangered 144
145 10 44 0.878627026450155 orangered 145
146 10 47 0.845880168472629 orangered 146
147 10 48 0.787506741131645 palegreen 147
148 10 46 0.906208345271277 orangered 148
149 18 1 0.769028929692978 palegreen 149
150 18 41 0.69072153448184 orangered 150
151 18 45 0.565052712513272 orangered 151
152 18 44 0.862586145373963 orangered 152
153 18 47 0.823026725682519 orangered 153
154 18 48 0.766541022052804 palegreen 154
155 18 46 0.872120410078073 orangered 155
156 38 1 0.773388087280957 palegreen 156
157 38 41 0.7023645148771 orangered 157
158 38 45 0.552841378355037 orangered 158
159 38 44 0.865483255660573 orangered 159
160 38 47 0.831684182175373 orangered 160
161 38 48 0.774355048078161 palegreen 161
162 38 46 0.889001208761933 orangered 162
163 19 1 0.648123803596805 orangered 163
164 19 41 0.616188566241366 palegreen 164
165 19 44 0.718190537702035 palegreen 165
166 19 47 0.711228394588961 palegreen 166
167 19 48 0.661316975530898 orangered 167
168 19 46 0.787622547163147 palegreen 168
169 25 1 0.772736512397054 palegreen 169
170 25 41 0.698765297196969 orangered 170
171 25 45 0.558374567090637 orangered 171
172 25 44 0.865529483740659 orangered 172
173 25 47 0.829429794709017 orangered 173
174 25 48 0.77235259838474 palegreen 174
175 25 46 0.883606459721794 orangered 175
