label id group Gene_ID_human
1 D-Fructose 1 Metabolome NA
2 C1QL4 2 Transcriptome 338761
3 LRTM2 3 Transcriptome 654429
4 LOXL1 4 Transcriptome 4016
5 MFAP2 5 Transcriptome 4237
6 SMOC2 6 Transcriptome 64094
7 MAGEL2 7 Transcriptome 54551
8 KCNV1 8 Transcriptome 27012
9 CTHRC1 9 Transcriptome 115908
10 OLFML2B 10 Transcriptome 25903
11 CPXM1 11 Transcriptome 56265
12 COL26A1 12 Transcriptome 136227
13 OMD 13 Transcriptome 4958
14 ALOX5AP 14 Transcriptome 241
15 PLAC9 15 Transcriptome 219348
16 CCDC80 16 Transcriptome 151887
17 CD209 17 Transcriptome 30835
18 TFPI2 18 Transcriptome 7980
19 ESM1 19 Transcriptome 11082
20 NPTX1 20 Transcriptome 4884
21 CD79B 21 Transcriptome 974
22 FKBP10 22 Transcriptome 60681
23 P3H4 23 Transcriptome 10609
24 CD68 24 Transcriptome 968
25 RCN3 25 Transcriptome 57333
26 C1QTNF6 26 Transcriptome 114904
27 C5AR1 27 Transcriptome 728
28 NES 28 Transcriptome 10763
29 LRRC25 29 Transcriptome 126364
30 STAB1 30 Transcriptome 23166
31 DLK1 31 Transcriptome 8788
32 CD163 32 Transcriptome 9332
33 PDIA2 33 Transcriptome 64714
34 PTGS1 34 Transcriptome 5742
35 ABI3BP 35 Transcriptome 25890
36 TSR1 36 Transcriptome 55720
37 DLK1 37 Transcriptome 8788
38 LRRC17 38 Transcriptome 10234
39 ENSSSCG00000051524 39 Transcriptome 
40 DCN 40 Transcriptome 1634
41 L-Alanine 41 Metabolome NA
42 L-GlutamicAcid 42 Metabolome NA
43 L-Glutamine 43 Metabolome NA
44 L-Leucine 44 Metabolome NA
45 L-Serine 45 Metabolome NA
46 L-Tyrosine 46 Metabolome NA
47 L-Valine 47 Metabolome NA
48 NicotinuricAcid 48 Metabolome NA
