label id group Gene_ID_human
1 Betaine 1 Metabolome NA
2 Body_Brain_Y 2 Phenotype NA
3 Body_L_Y 3 Phenotype NA
4 Body_T_Y 4 Phenotype NA
5 Body_W_Y 5 Phenotype NA
6 Brain_BW_Y 6 Phenotype NA
7 Brain_W_Y 7 Phenotype NA
8 Citrate 8 Metabolome NA
9 Cord_W_Y 9 Phenotype NA
10 Creatine 10 Metabolome NA
11 D-GluconicAcid 11 Metabolome NA
12 D-Sorbitol 12 Metabolome NA
13 HMGCLL1 13 Transcriptome 54511
14 AQP9 14 Transcriptome 366
15 SEC61B 15 Transcriptome 10952
16 KIT 16 Transcriptome 3815
17 MMRN1 17 Transcriptome 22915
18 AP1B1 18 Transcriptome 162
19 PLAC9 19 Transcriptome 219348
20 MPPED2 20 Transcriptome 744
21 ANGPTL6 21 Transcriptome 83854
22 TMPRSS5 22 Transcriptome 80975
23 MREG 23 Transcriptome 55686
24 FST 24 Transcriptome 10468
25 ATP8 25 Transcriptome 4509
26 RGN 26 Transcriptome 9104
27 TRIM63 27 Transcriptome 84676
28 IL2RG 28 Transcriptome 3561
29 TGFBR3 29 Transcriptome 7049
30 AGBL4 30 Transcriptome 84871
31 CNTRL 31 Transcriptome 11064
32 GPRASP2 32 Transcriptome 114928
33 PCNX1 33 Transcriptome 22990
34 TMEM130 34 Transcriptome 222865
35 ESD 35 Transcriptome 2098
36 PPP1R1B 36 Transcriptome 84152
37 RFC1 37 Transcriptome 5981
38 CNTRL 38 Transcriptome 11064
39 ENSSSCG00000047293 39 Transcriptome 
40 TMPRSS5 40 Transcriptome 80975
41 ENSSSCG00000044255 41 Transcriptome 
42 ENSSSCG00000050103 42 Transcriptome 
43 ZMIZ2 43 Transcriptome 83637
44 GFRA2 44 Transcriptome 2675
45 NCF4 45 Transcriptome 4689
46 GuanidinoaceticAcid 46 Metabolome NA
47 Head_Brain_Y 47 Phenotype NA
48 Head_BW_Y 48 Phenotype NA
49 Heart_Brain_Y 49 Phenotype NA
50 Heart_W_Y 50 Phenotype NA
51 L_intest_W_Y 51 Phenotype NA
52 L_Kidney_W_Y 52 Phenotype NA
53 L-Glycine 53 Metabolome NA
54 L-Isoleucine 54 Metabolome NA
55 L-Methionine 55 Metabolome NA
56 L-Proline 56 Metabolome NA
57 L-Serine 57 Metabolome NA
58 L-Valine 58 Metabolome NA
59 Lactate 59 Metabolome NA
60 Liver_W_Y 60 Phenotype NA
61 Lung_Brain_Y 61 Phenotype NA
62 Lung_W_Y 62 Phenotype NA
63 Methanol 63 Metabolome NA
64 N-Acetyl-L-AsparticAcid 64 Metabolome NA
65 NicotinuricAcid 65 Metabolome NA
66 Phosphocholine 66 Metabolome NA
67 Plac_W_Y 67 Phenotype NA
68 R_Kidney_Brain_Y 68 Phenotype NA
69 S-Acetamidomethylcysteine 69 Metabolome NA
70 Spleen_Brain_Y 70 Phenotype NA
71 Spleen_BW_Y 71 Phenotype NA
72 Spleen_W_Y 72 Phenotype NA
73 Stomach_Brain_Y 73 Phenotype NA
74 Stomach_W_Y 74 Phenotype NA
75 SyringicAcid 75 Metabolome NA
76 TMAO 76 Metabolome NA
