label id group Gene_ID_human
1 3-HydroxyphenylAceticAcid 1 Metabolome NA
2 Adenosine 2 Metabolome NA
3 Body_Brain_Y 3 Phenotype NA
4 Body_L_Y 4 Phenotype NA
5 Body_W_Y 5 Phenotype NA
6 Brain_BW_Y 6 Phenotype NA
7 CholineChloride 7 Metabolome NA
8 Cord_W_Y 8 Phenotype NA
9 Creatine 9 Metabolome NA
10 D-Fructose 10 Metabolome NA
11 SMOC1 11 Transcriptome 64093
12 LONP2 12 Transcriptome 83752
13 IL33 13 Transcriptome 90865
14 CIART 14 Transcriptome 148523
15 KCNIP3 15 Transcriptome 30818
16 CHFR 16 Transcriptome 55743
17 SLC5A4 17 Transcriptome 6527
18 CYP17A1 18 Transcriptome 1586
19 LIMD1 19 Transcriptome 8994
20 LIPH 20 Transcriptome 200879
21 ANGPTL6 21 Transcriptome 83854
22 ENSSSCG00000014575 22 Transcriptome 
23 DNAH11 23 Transcriptome 8701
24 CYP11A1 24 Transcriptome 1583
25 TRIM63 25 Transcriptome 84676
26 TOM1L1 26 Transcriptome 10040
27 SMOC1 27 Transcriptome 64093
28 RGN 28 Transcriptome 9104
29 MRAP2 29 Transcriptome 112609
30 GNA14 30 Transcriptome 9630
31 OPTN 31 Transcriptome 10133
32 MCPH1 32 Transcriptome 79648
33 FBP1 33 Transcriptome 2203
34 KCNIP3 34 Transcriptome 30818
35 ANKHD1 35 Transcriptome 54882
36 ENSSSCG00000042713 36 Transcriptome 
37 PPA1 37 Transcriptome 5464
38 ENSSSCG00000046168 38 Transcriptome 
39 NTM 39 Transcriptome 50863
40 GuanidinoaceticAcid 40 Metabolome NA
41 Head_Brain_Y 41 Phenotype NA
42 Head_BW_Y 42 Phenotype NA
43 Head_W_Y 43 Phenotype NA
44 Heart_W_Y 44 Phenotype NA
45 Hypoxanthine 45 Metabolome NA
46 L_intest_Brain_Y 46 Phenotype NA
47 L_intest_W_Y 47 Phenotype NA
48 L_Kidney_Brain_Y 48 Phenotype NA
49 L_Kidney_W_Y 49 Phenotype NA
50 L-Alanine 50 Metabolome NA
51 L-Asparagine 51 Metabolome NA
52 L-GlutamicAcid 52 Metabolome NA
53 L-Ornithine 53 Metabolome NA
54 L-Serine 54 Metabolome NA
55 Liver_Brain_Y 55 Phenotype NA
56 Liver_W_Y 56 Phenotype NA
57 Lung_Brain_Y 57 Phenotype NA
58 Lung_W_Y 58 Phenotype NA
59 Myo-Inositol 59 Metabolome NA
60 N-Acetylglycine 60 Metabolome NA
61 NicotinuricAcid 61 Metabolome NA
62 Oxypurinol 62 Metabolome NA
63 Plac_W_Y 63 Phenotype NA
64 R_Kidney_Brain_Y 64 Phenotype NA
65 R_Kidney_W_Y 65 Phenotype NA
66 S_intest_Brain_Y 66 Phenotype NA
67 S_intest_W_Y 67 Phenotype NA
68 Spleen_W_Y 68 Phenotype NA
69 Stomach_Brain_Y 69 Phenotype NA
70 Stomach_W_Y 70 Phenotype NA
