label id group Gene_ID_human
1 3-HydroxyphenylAceticAcid 1 Metabolome NA
2 Adenosine 2 Metabolome NA
3 Body_Brain_Y 3 Phenotype NA
4 Body_L_Y 4 Phenotype NA
5 Body_W_Y 5 Phenotype NA
6 Brain_BW_Y 6 Phenotype NA
7 CholineChloride 7 Metabolome NA
8 Creatine 8 Metabolome NA
9 D-Fructose 9 Metabolome NA
10 D-GluconicAcid 10 Metabolome NA
11 SMOC1 11 Transcriptome 64093
12 LONP2 12 Transcriptome 83752
13 ENSSSCG00000009851 13 Transcriptome 
14 CYP17A1 14 Transcriptome 1586
15 LIPH 15 Transcriptome 200879
16 DNAH11 16 Transcriptome 8701
17 TRIM63 17 Transcriptome 84676
18 PRELP 18 Transcriptome 5549
19 PON1 19 Transcriptome 5444
20 UGT2A3 20 Transcriptome 79799
21 LHFPL3 21 Transcriptome 375612
22 GLA 22 Transcriptome 2717
23 MRAP2 23 Transcriptome 112609
24 GCNT2 24 Transcriptome 2651
25 SEMA4A 25 Transcriptome 64218
26 TM4SF5 26 Transcriptome 9032
27 ENSSSCG00000045657 27 Transcriptome 
28 CXCL12 28 Transcriptome 6387
29 PPA1 29 Transcriptome 5464
30 GuanidinoaceticAcid 30 Metabolome NA
31 Head_Brain_Y 31 Phenotype NA
32 Head_BW_Y 32 Phenotype NA
33 Head_W_Y 33 Phenotype NA
34 Hypoxanthine 34 Metabolome NA
35 L_intest_Brain_Y 35 Phenotype NA
36 L_intest_W_Y 36 Phenotype NA
37 L_Kidney_Brain_Y 37 Phenotype NA
38 L_Kidney_W_Y 38 Phenotype NA
39 L-GlutamicAcid 39 Metabolome NA
40 L-Glutamine 40 Metabolome NA
41 L-Leucine 41 Metabolome NA
42 L-Serine 42 Metabolome NA
43 Liver_Brain_Y 43 Phenotype NA
44 Liver_W_Y 44 Phenotype NA
45 Lung_Brain_Y 45 Phenotype NA
46 Lung_W_Y 46 Phenotype NA
47 Myo-Inositol 47 Metabolome NA
48 N-Acetyl-L-AsparticAcid 48 Metabolome NA
49 N-Acetylglycine 49 Metabolome NA
50 NicotinuricAcid 50 Metabolome NA
51 Plac_W_Y 51 Phenotype NA
52 R_Kidney_Brain_Y 52 Phenotype NA
53 R_Kidney_W_Y 53 Phenotype NA
54 S_intest_Brain_Y 54 Phenotype NA
55 S_intest_W_Y 55 Phenotype NA
56 Spleen_Brain_Y 56 Phenotype NA
57 Spleen_W_Y 57 Phenotype NA
58 Stomach_W_Y 58 Phenotype NA
59 Taurine 59 Metabolome NA
