label id group Gene_ID_human
1 3-HydroxyphenylAceticAcid 1 Metabolome NA
2 Adenosine 2 Metabolome NA
3 Brain_W_Y 3 Phenotype NA
4 CholineChloride 4 Metabolome NA
5 Cord_L_Y 5 Phenotype NA
6 D-Fructose 6 Metabolome NA
7 C1QL4 7 Transcriptome 338761
8 LRTM2 8 Transcriptome 654429
9 LOXL1 9 Transcriptome 4016
10 PGM1 10 Transcriptome 5236
11 SLC28A2 11 Transcriptome 9153
12 MAGEL2 12 Transcriptome 54551
13 KCNV1 13 Transcriptome 27012
14 OLFML2B 14 Transcriptome 25903
15 CPXM1 15 Transcriptome 56265
16 COL26A1 16 Transcriptome 136227
17 KCNIP3 17 Transcriptome 30818
18 CYP17A1 18 Transcriptome 1586
19 MREG 19 Transcriptome 55686
20 ESM1 20 Transcriptome 11082
21 FKBP10 21 Transcriptome 60681
22 SLC39A2 22 Transcriptome 29986
23 C1QTNF6 23 Transcriptome 114904
24 NES 24 Transcriptome 10763
25 RAB7B 25 Transcriptome 338382
26 EML4 26 Transcriptome 27436
27 PDIA2 27 Transcriptome 64714
28 TM4SF5 28 Transcriptome 9032
29 ABI3BP 29 Transcriptome 25890
30 DLK1 30 Transcriptome 8788
31 ENPP2 31 Transcriptome 5168
32 LRRC17 32 Transcriptome 10234
33 ESM1 33 Transcriptome 11082
34 SNED1 34 Transcriptome 25992
35 PPA1 35 Transcriptome 5464
36 DCN 36 Transcriptome 1634
37 Glycerophosphocholine 37 Metabolome NA
38 GuanidinoaceticAcid 38 Metabolome NA
39 Head_Brain_Y 39 Phenotype NA
40 Head_L_Y 40 Phenotype NA
41 L-Alanine 41 Metabolome NA
42 L-Cystine 42 Metabolome NA
43 L-Glycine 43 Metabolome NA
44 L-Isoleucine 44 Metabolome NA
45 L-Leucine 45 Metabolome NA
46 L-Phenylalanine 46 Metabolome NA
47 L-Tyrosine 47 Metabolome NA
48 L-Valine 48 Metabolome NA
49 Myo-Inositol 49 Metabolome NA
50 N-Acetylglycine 50 Metabolome NA
51 NicotinuricAcid 51 Metabolome NA
