label id group Gene_ID_human
1 CholineChloride 1 Metabolome NA
2 D-Sorbitol 2 Metabolome NA
3 CYP4A24 3 Transcriptome 
4 LRIG1 4 Transcriptome 26018
5 APOD 5 Transcriptome 347
6 UPRT 6 Transcriptome 139596
7 ZCCHC18 7 Transcriptome 644353
8 WDR83 8 Transcriptome 84292
9 ATP8 9 Transcriptome 4509
10 TIPARP 10 Transcriptome 25976
11 TCEAL3 11 Transcriptome 85012
12 APOD 12 Transcriptome 347
13 BEX5 13 Transcriptome 340542
14 TUBB2B 14 Transcriptome 347733
15 PABIR2 15 Transcriptome 159090
16 NUDT13 16 Transcriptome 25961
17 PBDC1 17 Transcriptome 51260
18 ENSSSCG00000032301 18 Transcriptome 
19 RNF144A 19 Transcriptome 9781
20 FAM3B 20 Transcriptome 54097
21 MRPS11 21 Transcriptome 64963
22 MYL12A 22 Transcriptome 10627
23 NDUFB5 23 Transcriptome 4711
24 POLR2G 24 Transcriptome 5436
25 ENSSSCG00000042268 25 Transcriptome 
26 ENSSSCG00000048558 26 Transcriptome 
27 ENSSSCG00000044207 27 Transcriptome 
28 ENSSSCG00000042554 28 Transcriptome 
29 ENSSSCG00000049797 29 Transcriptome 
30 ENSSSCG00000041163 30 Transcriptome 
31 L-Carnitine 31 Metabolome NA
32 L-GlutamicAcid 32 Metabolome NA
33 L-Glycine 33 Metabolome NA
34 N-Acetyl-L-AsparticAcid 34 Metabolome NA
35 N-Acetylglycine 35 Metabolome NA
36 Phosphocholine 36 Metabolome NA
